Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,15,1,3,6,7,1,15,0,1,0,0,0,7,29,15,1,0,0,0,0,29,8,27.6,1
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1327,7,67,480,856,151,1224,39,55,70.9,40,2,1009,4653,2225,131,39,35,33,51,1311,1027,78.3,184
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,569,75,310,284,17,5,559,2,2,100,2,0,413,2837,1641,35,5,0,1,4,425,419,98.6,1
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,1709,36,271,821,714,75,1638,25,54,46.3,27,10,1155,5650,3018,154,50,10,39,32,1478,1202,81.3,141
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,973,25,286,572,183,9,949,9,16,56.3,9,0,622,3111,1403,47,19,2,11,17,713,625,87.7,25
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,69,0,3,36,33,10,66,2,4,50,2,0,27,95,47,3,0,0,6,1,89,41,46.1,17
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,679,554,674,5,0,0,477,0,0,,0,0,287,1646,862,0,0,0,0,0,266,265,99.6,0
Ben Foster,eng ENG,GK,Watford,38,1983,26,926,771,912,15,0,0,608,0,0,,0,0,382,2151,1370,0,0,0,0,0,340,338,99.4,0
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,11,0,0,5,7,4,11,0,0,,0,0,9,80,61,4,1,2,0,0,9,8,88.9,3
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,603,21,116,209,315,47,560,2,7,28.6,2,0,389,2128,1335,79,22,16,14,12,553,412,74.5,57
Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1605,77,402,964,307,17,1578,17,33,51.5,18,2,1033,3897,1946,74,19,1,34,29,1195,1092,91.4,41
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,176,17,58,76,47,1,155,0,1,0,0,0,83,314,167,8,1,0,2,1,104,99,95.2,3
Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,129,11,58,58,18,1,101,0,1,0,1,0,61,248,137,5,0,0,2,0,73,65,89,4
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,1588,51,289,770,615,93,1451,45,71,63.4,47,1,1046,4793,2025,105,31,14,54,54,1153,938,81.4,120
Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,0.1,3,0,0,2,1,0,3,0,0,,0,0,3,11,4,0,0,0,0,0,7,3,42.9,0
Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,0.4,23,0,0,13,11,3,23,0,1,0,0,0,15,40,28,3,0,1,1,0,28,17,60.7,4
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,28,1,8,22,1,0,28,1,2,50,2,0,19,113,69,2,0,0,1,2,20,18,90,1
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,1011,943,1010,1,0,0,662,0,0,,0,0,384,1588,732,0,0,0,1,0,381,377,99,0
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,290,5,25,143,139,48,271,14,29,48.3,17,0,203,871,569,37,6,8,26,22,364,197,54.1,64
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,183,3,16,64,117,17,180,3,12,25,5,2,119,626,416,27,6,4,21,10,203,136,67,29
Anwar El Ghazi,nl NED,FW,Everton,26,1995,0.1,14,0,1,4,10,2,12,0,1,0,0,0,8,49,24,2,1,1,1,0,17,8,47.1,2
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,6,298,17,65,134,119,21,275,4,5,80,4,1,162,859,503,27,11,2,8,5,232,164,70.7,31
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,881,71,358,384,197,14,753,27,44,61.4,30,5,546,2902,1783,66,16,4,18,9,521,474,91,27
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,13,0,3,3,8,3,12,0,0,,0,0,7,18,12,1,1,0,0,0,9,8,88.9,3
Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,1598,372,1022,602,57,23,1543,2,5,40,2,0,905,4682,2770,62,14,0,4,4,1044,1026,98.3,2
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,1399,47,384,776,330,10,1265,15,25,60,21,2,799,4486,1953,80,32,0,16,12,1007,928,92.2,22
Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,1062,146,496,462,165,29,957,6,10,60,7,0,509,2932,1476,43,23,1,9,9,560,514,91.8,16
André Gomes,pt POR,MF,Everton,28,1993,6.9,372,15,70,210,116,8,362,12,15,80,13,1,248,1032,526,18,4,1,11,15,272,226,83.1,10
Toti Gomes,pt POR,DF,Wolves,22,1999,4,241,32,124,117,16,4,239,3,4,75,3,0,134,701,364,10,3,0,0,1,147,142,96.6,1
Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,325,5,60,165,119,7,287,4,7,57.1,4,0,216,812,398,21,8,2,3,5,211,204,96.7,12
Charlie Goode,eng ENG,DF,Brentford,25,1995,5,337,20,122,163,74,11,262,5,7,71.4,5,0,163,1003,497,14,7,0,1,1,171,164,95.9,7
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,1154,22,174,461,616,87,1065,44,86,51.2,51,7,748,5020,2871,138,45,25,63,48,970,704,72.6,97
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,8,0,0,4,4,1,8,0,1,0,0,1,7,32,9,1,0,0,0,1,11,7,63.6,3
Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,85,5,28,43,18,4,84,0,0,,0,0,47,259,107,1,0,1,2,2,61,52,85.2,6
Demarai Gray,eng ENG,MFFW,Everton,25,1996,26,1108,20,119,427,669,91,1015,47,86,54.7,49,3,811,5573,3062,174,58,29,57,50,1017,733,72.1,144
Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,1216,18,74,461,792,194,1192,34,59,57.6,37,1,1040,7778,4678,287,69,88,26,43,1223,1001,81.8,194
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,662,6,79,295,338,60,645,29,50,58,31,3,532,3451,2032,107,28,27,19,20,703,524,74.5,92
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,111,3,15,67,34,6,105,1,2,50,1,0,71,343,129,6,1,2,5,1,82,62,75.6,18
Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,1501,47,253,663,658,64,1308,10,19,52.6,11,1,887,4174,1913,100,37,5,21,24,1152,989,85.9,99
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,1038,928,1033,4,1,0,782,0,0,,0,0,525,2066,995,0,0,0,0,0,483,483,100,0
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,2579,418,1542,1118,86,31,2523,12,15,80,12,0,1780,9225,5052,99,21,1,8,5,1870,1859,99.4,3
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,716,36,182,389,212,22,704,17,32,53.1,17,0,519,2777,1170,54,23,3,21,33,519,468,90.2,14
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,1513,24,174,824,620,94,1431,22,33,66.7,23,3,1042,5325,2437,132,48,14,18,26,1344,1202,89.4,120
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,331,285,331,0,0,0,206,0,0,,0,0,112,476,302,0,0,0,0,0,107,106,99.1,0
Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,1662,396,1116,546,51,34,1608,4,6,66.7,4,0,820,3325,1450,23,3,0,5,1,946,915,96.7,3
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,1444,36,280,605,677,104,1398,49,104,47.1,53,4,1084,6231,3841,205,57,31,71,69,1287,984,76.5,151
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,249,35,143,112,10,6,244,2,4,50,2,0,151,960,512,3,0,0,1,2,153,145,94.8,3
Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,975,35,93,408,526,141,946,21,43,48.8,24,2,695,3593,1837,113,24,32,63,46,1139,756,66.4,211
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,461,47,182,218,76,10,446,8,13,61.5,8,0,247,845,362,12,7,1,9,10,295,242,82,10
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,869,14,132,458,356,71,860,31,58,53.4,33,10,645,4104,2214,105,38,21,55,36,919,667,72.6,128
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,2403,45,316,1475,752,48,2332,17,26,65.4,18,3,1587,7063,3187,130,59,4,19,13,1999,1846,92.3,115
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,32,1,4,20,9,1,32,1,1,100,1,1,25,75,26,1,0,0,0,1,26,23,88.5,1
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,87,69,83,4,0,0,51,0,0,,0,0,26,158,127,0,0,0,0,0,23,23,100,0
Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,1546,98,508,647,483,40,1426,23,53,43.4,24,1,927,4391,2330,108,37,12,20,44,975,839,86.1,61
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,33.4,1578,14,161,623,908,167,1368,51,86,59.3,57,3,1082,6634,3682,185,66,53,59,66,1567,1093,69.8,256
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,3.4,200,9,58,89,61,3,167,1,7,14.3,1,0,104,587,377,13,2,3,2,3,127,105,82.7,5
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,2845,123,750,1778,479,34,2767,40,57,70.2,41,2,2006,8842,4451,144,39,7,24,27,2159,2068,95.8,51
Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,579,94,298,289,19,6,564,1,3,33.3,1,0,350,1599,783,16,2,0,1,3,373,364,97.6,0
Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,1058,176,558,498,55,14,998,1,2,50,1,0,456,2506,1214,21,5,0,2,8,515,498,96.7,1
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,10.7,505,7,40,194,315,62,491,19,30,63.3,19,0,419,2981,1866,105,25,34,16,22,513,394,76.8,73
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,649,32,176,361,146,6,611,6,13,46.2,7,0,383,1670,786,34,12,0,8,11,409,380,92.9,10
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,235,13,27,93,127,33,230,12,16,75,12,0,170,932,337,19,3,2,26,17,364,162,44.5,51
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14,540,10,48,257,268,61,522,15,32,46.9,16,2,395,1774,912,50,16,11,45,30,720,397,55.1,102
Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,623,21,68,260,317,126,601,11,35,31.4,13,3,360,1632,795,42,9,10,46,17,768,399,52,117
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1,33,1,10,23,3,1,33,0,0,,0,0,19,122,78,3,1,0,0,0,14,14,100,0
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,1052,43,231,436,459,74,1000,32,58,55.2,37,9,749,4013,2306,108,32,19,31,33,872,667,76.5,86
Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,786,22,92,301,451,126,755,18,44,40.9,20,0,533,3492,2164,122,26,32,48,37,966,525,54.3,168
Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,53,1,2,22,33,9,53,0,3,0,1,0,33,232,158,10,3,1,5,3,50,34,68,15
Reece James,eng ENG,DF,Chelsea,21,1999,20.7,1877,37,316,856,837,75,1638,34,43,79.1,36,1,1349,5827,2899,156,61,16,17,24,1449,1336,92.2,98
Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,1255,75,376,634,311,49,1200,17,22,77.3,18,2,697,3487,1743,65,20,4,26,12,911,747,82,54
Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,1840,423,1173,675,64,49,1786,3,4,75,4,0,880,4387,1998,34,0,1,8,3,1051,996,94.8,4
Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,955,32,203,503,304,33,857,12,20,60,14,5,546,2549,1237,67,20,1,15,21,684,558,81.6,50
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,1033,16,87,369,633,167,1016,40,61,65.6,45,4,829,3983,2035,147,23,34,57,46,1104,797,72.2,161
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,1210,36,115,671,497,136,1157,38,93,40.9,45,2,813,3164,1636,95,23,18,92,66,1405,889,63.3,193
João Pedro,br BRA,FWMF,Watford,19,2001,18.3,908,21,93,443,459,90,878,51,98,52,57,13,622,3154,1809,89,40,16,51,68,966,648,67.1,114
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,1399,82,317,712,484,86,1386,33,66,50,35,4,903,4543,2524,107,37,10,74,69,1103,868,78.7,101
Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,942,94,342,413,233,13,795,9,16,56.3,12,2,507,2354,1021,41,20,1,11,13,548,506,92.3,18
Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,694,11,84,419,243,16,681,18,28,64.3,18,1,562,3090,1490,82,23,5,14,21,616,563,91.4,43
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,100,18,47,51,7,1,100,0,0,,0,0,64,284,141,5,1,0,1,0,63,63,100,0
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,382,30,163,160,78,4,314,0,0,,0,0,171,909,609,11,5,0,1,2,204,194,95.1,1
Jorginho,it ITA,MF,Chelsea,29,1991,25.3,2087,62,468,1290,453,15,2044,13,17,76.5,14,1,1462,5730,2843,119,32,1,12,22,1624,1564,96.3,37
Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,1129,15,103,483,624,190,1122,32,73,43.8,40,9,798,3994,2485,138,38,29,58,48,1372,865,63,227
James Justin,eng ENG,DF,Leicester City,23,1998,11.1,801,45,288,354,204,16,698,4,12,33.3,5,1,447,1777,1034,40,14,4,3,14,515,470,91.3,27
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,514,75,325,208,16,5,498,14,18,77.8,14,0,319,1691,948,15,3,0,3,6,333,320,96.1,0
Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,592,110,373,226,19,11,583,0,1,0,1,0,311,1463,604,13,0,0,0,4,324,320,98.8,2
Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,100,4,11,41,53,6,93,2,5,40,2,0,68,321,180,13,5,3,9,6,90,71,78.9,11
Hassane Kamara,ci CIV,DF,Watford,27,1994,18,1161,86,531,514,181,10,977,18,34,52.9,19,1,608,3262,1512,49,17,3,11,9,552,510,92.4,16
Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,1434,47,149,731,660,194,1370,62,102,60.8,67,10,1003,5290,2479,137,48,26,87,73,1755,1106,63,289
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,1521,31,293,824,514,37,1515,31,46,67.4,31,1,1117,5857,3347,148,53,7,27,34,1243,1155,92.9,79
Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,521,30,169,321,77,4,513,5,12,41.7,6,0,361,2203,1038,39,10,1,4,11,343,322,93.9,10
Moise Kean,it ITA,FW,Everton,21,2000,0,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,3,2,66.7,0
Michael Keane,eng ENG,DF,Everton,28,1993,31,1486,242,801,694,61,29,1459,5,7,71.4,5,0,749,4121,1856,48,7,0,7,3,809,782,96.7,6
Naby Keïta,gn GUI,MF,Liverpool,26,1995,13,930,14,136,532,317,39,914,15,25,60,16,1,650,3079,1814,92,27,10,23,10,758,669,88.3,36
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,94,72,94,0,0,0,75,0,0,,0,0,53,160,93,0,0,0,0,0,54,54,100,0
Kenedy,br BRA,DF,Chelsea,25,1996,0.6,60,2,9,24,30,3,57,0,1,0,0,0,44,161,76,5,1,1,1,2,47,45,95.7,7
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,581,36,169,277,160,11,488,3,9,33.3,3,1,304,1250,634,31,14,4,4,4,313,288,92,12
Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,1778,214,950,844,105,22,1743,13,17,76.5,14,0,1145,6267,3616,110,26,1,9,9,1206,1181,97.9,7
Joshua King,no NOR,FW,Watford,29,1992,25,864,37,107,421,389,121,826,36,67,53.7,38,4,526,2795,1559,82,24,25,94,43,1104,600,54.3,162
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,14,12,14,0,0,0,11,0,0,,0,0,5,28,11,0,0,0,0,0,4,4,100,0
Mateusz Klich,pl POL,MF,Leeds United,31,1990,23,1244,39,280,627,412,59,1207,19,29,65.5,21,1,826,4458,2115,103,34,6,24,31,1005,827,82.3,128
Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,862,116,400,397,95,17,840,4,5,80,4,0,426,1558,702,20,7,1,10,7,536,495,92.4,14
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1,27,8,19,8,0,0,25,0,0,,0,0,10,30,15,0,0,0,0,0,8,7,87.5,0
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,830,81,365,487,21,6,821,3,3,100,3,0,555,2786,1647,46,3,0,2,2,578,569,98.4,2
Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,1205,215,708,490,72,35,1170,6,8,75,6,0,725,3197,1679,29,8,0,9,8,794,757,95.3,7
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,1064,86,403,589,115,8,1046,13,20,65,14,0,596,2341,1041,23,6,0,24,18,573,534,93.2,6
Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,1373,24,250,876,376,19,1356,31,39,79.5,32,0,1059,5756,3000,126,60,6,15,30,1123,1076,95.8,32
Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,948,86,408,370,214,9,776,3,5,60,3,0,436,2245,1294,55,23,3,6,4,464,428,92.2,7
Alex Král,cz CZE,MF,West Ham,23,1998,0,2,0,0,2,0,0,2,0,0,,0,0,1,4,0,0,0,0,0,0,0,0,,0
Tim Krul,nl NED,GK,Norwich City,33,1988,29,1144,987,1131,16,1,0,819,0,0,,0,0,487,2202,1225,0,0,0,0,0,506,504,99.6,0
Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,1037,79,309,536,244,33,1011,21,36,58.3,24,8,530,2563,1322,64,19,4,25,29,638,524,82.1,28
Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14,634,4,98,284,294,71,614,28,56,50,31,5,495,2589,1482,94,19,22,28,27,586,452,77.1,95
Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,1991,19.8,664,6,74,307,322,107,649,17,30,56.7,17,1,423,1579,847,46,13,8,43,27,788,499,63.3,129
Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,1120,44,283,623,284,38,1111,19,30,63.3,20,0,806,3255,1461,69,20,5,21,20,866,793,91.6,66
Tariq Lamptey,eng ENG,DFFW,Brighton,20,2000,17.3,1043,41,226,401,509,45,972,28,60,46.7,29,0,762,4516,2867,161,35,18,31,25,887,713,80.4,76
Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,1379,26,250,811,405,42,1312,17,27,63,19,2,1004,4878,2278,120,40,7,18,21,1132,1013,89.5,60
Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,3059,258,1144,2013,177,43,3006,3,5,60,3,0,2285,14300,9587,352,61,1,1,8,2539,2501,98.5,8
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,940,232,620,284,66,49,931,1,1,100,1,0,415,1739,708,10,0,0,7,4,513,486,94.7,4
Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,1272,80,378,636,329,36,1251,15,33,45.5,18,1,824,4104,1927,75,25,7,17,10,945,829,87.7,58
Aaron Lennon,eng ENG,MF,Burnley,34,1987,17.2,564,24,96,231,266,48,556,15,37,40.5,18,1,369,1833,940,56,13,18,18,16,482,346,71.8,51
Bernd Leno,de GER,GK,Arsenal,29,1992,4,125,105,125,0,0,0,82,0,0,,0,0,56,290,112,0,0,0,0,0,47,47,100,0
Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,138,10,57,51,33,1,115,0,2,0,0,0,74,318,98,4,0,1,1,8,73,64,87.7,2
Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,1529,259,900,665,61,14,1500,0,1,0,0,0,910,5874,3055,73,15,1,4,3,1006,989,98.3,2
Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,203,2,17,97,97,12,200,2,9,22.2,4,1,141,637,382,17,6,1,9,6,213,154,72.3,20
Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,1466,82,415,694,483,48,1262,32,58,55.2,38,1,862,5797,3236,128,51,13,31,30,874,776,88.8,55
Diego Llorente,es ESP,DF,Leeds United,27,1993,26,1645,263,998,728,50,13,1603,9,11,81.8,9,1,992,7254,4603,56,6,0,7,12,1031,1003,97.3,2
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,1043,964,1041,3,0,0,721,0,0,,0,0,399,1760,873,0,0,0,0,0,373,370,99.2,0
Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,196,1,25,99,85,10,184,6,8,75,8,0,142,754,386,20,6,1,8,10,173,145,83.8,23
Jürgen Locadia,nl NED,FW,Brighton,27,1993,0.3,6,0,0,3,3,2,6,1,1,100,1,0,5,10,4,0,0,0,0,1,15,4,26.7,0
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,1184,23,200,732,355,42,1165,35,53,66,37,3,908,4797,3068,131,49,8,22,38,978,897,91.7,46
Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,139,26,89,53,6,6,138,0,0,,0,0,60,365,144,1,0,0,0,1,70,67,95.7,0
Shane Long,ie IRL,FW,Southampton,34,1987,3.4,140,2,10,50,86,19,139,2,5,40,2,0,71,183,54,2,0,1,16,11,176,105,59.7,26
Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,775,47,225,426,171,18,746,3,5,60,3,0,469,2180,743,22,9,0,8,23,507,447,88.2,22
Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,794,7,107,367,371,93,778,40,65,61.5,41,5,630,2772,1569,95,24,19,37,57,746,556,74.5,124
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,66,54,65,1,0,0,50,0,0,,0,0,42,214,140,0,0,0,0,0,36,35,97.2,0
Imran Louza,ma MAR,MF,Watford,22,1999,15.7,897,48,251,527,172,9,810,13,27,48.1,14,0,466,2586,1259,38,11,2,13,10,488,442,90.6,16
Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,1077,95,328,497,297,11,884,9,15,60,10,0,488,2037,1211,58,20,4,8,7,536,486,90.7,18
Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,1783,86,481,1023,365,9,1609,15,35,42.9,17,2,1072,5351,2433,95,21,1,27,24,1173,1088,92.8,29
Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,504,21,32,223,276,106,476,15,29,51.7,19,1,298,1263,759,42,12,23,38,28,777,371,47.7,149
Lyanco,br BRA,DF,Southampton,24,1997,10.1,513,112,282,238,23,7,497,6,7,85.7,6,0,264,1423,623,16,3,2,2,5,263,252,95.8,2
Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,1400,45,242,663,560,52,1318,18,39,46.2,22,4,861,3998,2023,104,29,3,25,30,1019,878,86.2,87
James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,1382,24,192,722,552,82,1240,36,61,59,38,2,961,4919,2582,150,37,13,39,31,1225,988,80.7,146
Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,1808,265,907,917,101,41,1764,3,5,60,3,0,1081,7191,3901,110,19,0,5,4,1201,1175,97.8,7
Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,1116,15,77,340,781,133,1018,26,44,59.1,26,0,869,4820,2520,155,30,36,28,33,980,854,87.1,139
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3,171,9,47,89,41,1,166,2,7,28.6,2,0,101,422,216,10,1,0,3,5,116,108,93.1,3
Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,1556,19,113,694,870,250,1544,49,82,59.8,52,9,1188,6608,3397,199,59,54,98,72,1880,1240,66,356
Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14,552,61,222,217,137,11,455,8,12,66.7,8,0,259,1148,516,19,8,1,9,7,268,224,83.6,18
Fernando Marçal,br BRA,DF,Wolves,32,1989,16.1,1084,74,366,443,346,25,949,9,18,50,10,3,605,2902,1784,99,31,3,16,11,685,623,90.9,48
Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,984,43,164,344,538,78,900,25,44,56.8,25,1,673,4239,2360,126,21,24,23,32,828,631,76.2,81
Pablo Marí,es ESP,DF,Arsenal,27,1993,2,114,15,55,61,7,3,113,1,1,100,1,0,59,353,190,4,1,0,0,0,66,65,98.5,2
Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,110,1,9,40,66,19,109,5,7,71.4,5,0,88,489,327,18,4,4,4,2,143,95,66.4,30
Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,911,26,104,292,586,138,866,31,60,51.7,33,5,649,4513,2571,145,36,38,54,40,866,619,71.5,139
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,1141,991,1128,16,0,0,772,1,1,100,1,0,531,2547,1431,0,0,0,0,0,443,439,99.1,0
Adam Masina,ma MAR,DF,Watford,27,1994,12,668,66,263,311,117,3,557,8,10,80,8,0,330,1374,731,24,7,0,6,6,339,316,93.2,5
Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,475,30,146,186,164,9,434,5,8,62.5,5,1,300,1214,684,35,8,4,9,9,295,270,91.5,11
Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,240,0,43,125,90,9,238,4,5,80,5,0,197,908,440,26,7,1,5,6,214,192,89.7,14
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,388,18,38,198,168,66,372,15,25,60,16,2,209,919,441,27,5,10,30,18,574,277,48.3,61
Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,1185,59,368,725,189,8,1160,11,13,84.6,11,0,786,4583,2840,120,28,2,18,17,858,827,96.4,8
Joël Matip,cm CMR,DF,Liverpool,29,1991,31,2549,253,1060,1537,186,59,2496,13,14,92.9,13,0,1609,10768,7547,275,75,4,8,7,1824,1778,97.5,8
Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,885,8,54,363,516,130,828,29,49,59.2,33,4,612,2488,1221,70,30,12,49,55,1189,635,53.4,214
Bryan Mbeumo,fr FRA,FW,Brentford,21,1999,32.3,1221,26,144,471,693,156,1172,35,74,47.3,37,5,769,4325,2390,125,36,32,81,63,1545,846,54.8,266
James McArthur,sct SCO,MF,Crystal Palace,33,1987,16,1119,55,283,666,241,24,1074,17,23,73.9,17,2,749,3914,1849,73,25,3,10,22,758,696,91.8,31
