Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,49,1.44,43,0,3,1,1,1,6,0.18,5,0,1,0,0,0
Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,34,1.86,14,5,5,3,4,3,3,0.16,3,0,0,0,0,0
Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,134,4.33,105,13,6,7,2,1,12,0.39,12,0,0,0,0,0
Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,2,0.2,2,0,0,0,0,0,1,0.1,1,0,0,0,0,0
Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,38,3,32,3,1,1,1,0,7,0.55,6,0,0,1,0,0
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Onyango,eng ENG,MFFW,Everton,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,17,1.46,11,0,1,1,4,0,1,0.09,0,0,0,0,1,0
Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,2,1.35,1,0,0,1,0,0,2,1.35,1,0,0,1,0,0
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,21,2.41,17,0,2,0,1,1,1,0.11,1,0,0,0,0,0
Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,7,5.12,4,0,0,2,1,0,1,0.73,0,0,0,1,0,0
Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,51,2.26,39,0,5,4,3,0,3,0.13,2,0,0,1,0,0
Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,28,3.62,15,9,2,2,0,0,4,0.52,2,0,0,2,0,0
Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11,23,2.09,19,0,3,0,0,1,6,0.54,4,0,1,0,0,1
Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,18,3.64,14,0,2,1,0,1,2,0.4,2,0,0,0,0,0
Sonny Perkins,eng ENG,FW,West Ham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romain Perraud,fr FRA,DF,Southampton,23,1997,18,27,1.5,20,1,2,2,1,1,3,0.17,3,0,0,0,0,0
Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,23,1.3,17,3,0,1,0,2,4,0.23,3,1,0,0,0,0
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,7,0.2,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0
Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,7,0.86,5,2,0,0,0,0,1,0.12,1,0,0,0,0,0
Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,20,0.67,14,3,0,3,0,0,3,0.1,1,1,0,1,0,0
Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,14,2.5,5,2,2,0,5,0,0,0,0,0,0,0,0,0
Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,62,3.76,48,0,4,5,4,1,4,0.24,3,0,0,1,0,0
Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15,51,3.4,40,1,4,1,5,0,11,0.73,10,1,0,0,0,0
Nick Pope,eng ENG,GK,Burnley,29,1992,36,8,0.22,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Price,nir NIR,MF,Everton,17,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,60,1.66,36,0,9,2,11,2,4,0.11,3,0,0,0,1,0
Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,33,2.3,23,0,0,2,5,3,2,0.14,2,0,0,0,0,0
Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,1,0.03,0,1,0,0,0,0,1,0.03,0,1,0,0,0,0
Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,63,2.3,49,0,3,2,8,1,3,0.11,2,0,0,1,0,0
Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,119,3.67,66,22,13,9,6,3,9,0.28,4,0,2,0,2,1
Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,29,2.11,18,0,4,2,5,0,3,0.22,3,0,0,0,0,0
Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,56,2.26,33,14,2,3,2,2,4,0.16,3,1,0,0,0,0
David Raya,es ESP,GK,Brentford,25,1995,24,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,66,3.24,53,4,2,4,2,1,8,0.39,6,1,0,0,1,0
Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,52,2.44,41,3,3,2,3,0,5,0.23,5,0,0,0,0,0
Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,59,1.67,50,1,2,2,1,3,8,0.23,8,0,0,0,0,0
Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Richarlison,br BRA,FWMF,Everton,24,1997,28,62,2.21,43,0,1,7,10,1,8,0.29,4,0,0,3,1,0
Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,3,2.29,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,40,2.69,18,21,0,1,0,0,3,0.2,2,1,0,0,0,0
Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,22,1.17,17,1,1,1,2,0,1,0.05,1,0,0,0,0,0
Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11,28,2.55,22,0,2,2,2,0,1,0.09,1,0,0,0,0,0
Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,95,3.37,64,22,3,1,3,2,16,0.57,13,2,1,0,0,0
Joe Rodon,wls WAL,DF,Tottenham,23,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,es ESP,MF,Manchester City,25,1996,32,75,2.34,63,1,2,5,1,3,3,0.09,3,0,0,0,0,0
Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,73,2.9,61,3,2,1,2,4,4,0.16,2,0,1,0,0,1
Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,24,1.56,15,0,1,6,2,0,3,0.2,2,0,0,1,0,0
Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,16,1.16,12,0,1,1,2,0,3,0.22,2,0,0,1,0,0
Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,17,0.83,14,1,0,0,1,1,2,0.1,1,0,0,0,0,1
Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,67,2.09,63,0,1,1,0,2,4,0.12,4,0,0,0,0,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,76,2.79,56,0,9,5,5,1,9,0.33,4,0,2,1,2,0
Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,17,1.94,13,0,1,2,0,1,1,0.11,1,0,0,0,0,0
Danny Rose,eng ENG,DF,Watford,31,1990,7.7,11,1.44,10,1,0,0,0,0,1,0.13,0,1,0,0,0,0
Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,6,2.42,5,1,0,0,0,0,1,0.4,1,0,0,0,0,0
John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,39,1.16,34,0,1,2,2,0,8,0.24,5,0,0,1,2,0
Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,27,3.16,22,0,3,1,1,0,0,0,0,0,0,0,0,0
José Sá,pt POR,GK,Wolves,28,1993,36.5,4,0.11,3,1,0,0,0,0,1,0.03,0,1,0,0,0,0
Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,114,3.66,74,2,23,5,7,3,9,0.29,7,0,0,1,1,0
Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,15,0.5,14,0,0,1,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,142,4.29,94,18,12,7,10,1,16,0.48,8,4,0,1,3,0
Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,133,4.33,93,0,21,15,3,1,25,0.81,17,0,5,2,1,0
Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33,27,0.82,21,1,0,3,0,2,3,0.09,3,0,0,0,0,0
Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,34,2.7,32,0,0,0,1,1,0,0,0,0,0,0,0,0
Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,16,0.88,15,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Robert Sánchez,es ESP,GK,Brighton,23,1997,37,4,0.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,82,3.88,67,3,9,2,1,0,8,0.38,6,0,2,0,0,0
Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4,3,0.76,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Samir Santos,br BRA,DF,Watford,26,1994,18.6,4,0.22,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,26,1.49,18,0,1,3,4,0,2,0.11,1,0,1,0,0,0
Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,44,2.13,34,0,4,0,4,2,3,0.15,3,0,0,0,0,0
Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,7,1.15,7,0,0,0,0,0,1,0.16,1,0,0,0,0,0
Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
