Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,44,2.17,26,10,4,0,2,2,6,0.3,4,1,0,0,1,0
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,3,0.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,19,1.51,14,3,0,0,2,0,2,0.16,2,0,0,0,0,0
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,61,3.58,52,0,1,5,0,3,6,0.35,6,0,0,0,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0
Alisson,br BRA,GK,Liverpool,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Allan,br BRA,MF,Everton,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,8,1.1,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,89,3.7,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,29,1.85,17,0,4,4,4,0,3,0.19,2,0,0,0,1,0
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,51,3.12,40,2,2,2,4,1,2,0.12,1,0,0,0,1,0
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,23,2,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,47,2.1,31,1,1,3,8,3,6,0.27,4,0,0,0,1,1
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,22,0.87,16,0,0,6,0,0,3,0.12,0,0,0,3,0,0
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,44,1.91,41,0,2,1,0,0,8,0.35,6,0,1,1,0,0
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,21,2.48,15,1,2,1,2,0,3,0.35,2,0,1,0,0,0
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,12,1.93,9,0,1,0,1,1,3,0.48,2,0,1,0,0,0
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,17,1.68,13,0,1,1,0,2,2,0.2,1,0,0,0,0,1
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,18,9.05,12,3,2,0,1,0,3,1.51,3,0,0,0,0,0
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,21,2.34,15,0,0,2,3,1,1,0.11,1,0,0,0,0,0
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,57,2.44,45,0,8,2,2,0,13,0.56,11,0,0,2,0,0
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,2,1.23,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,9,0.97,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,19,0.65,16,2,0,0,0,1,0,0,0,0,0,0,0,0
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,5,0.93,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Asmir Begović,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,69,2.86,53,0,6,5,4,1,8,0.33,7,0,0,1,0,0
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,35,2.31,33,0,0,2,0,0,7,0.46,6,0,0,1,0,0
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,20,1.57,17,0,1,1,1,0,1,0.08,1,0,0,0,0,0
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,19,1.55,14,0,1,1,2,1,2,0.16,2,0,0,0,0,0
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,20,3.19,15,1,2,1,1,0,3,0.48,1,0,1,0,1,0
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,2,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,24,1.02,16,0,4,1,2,1,4,0.17,3,0,0,0,1,0
Willy Boly,ci CIV,DF,Wolves,30,1991,10,2,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,95,2.87,53,19,8,8,4,3,21,0.63,10,4,3,1,3,0
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,37,1.69,17,0,6,5,5,4,3,0.14,0,0,1,0,2,0
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,66,2.01,41,19,2,1,1,2,4,0.12,1,2,1,0,0,0
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,74,3.51,61,3,3,2,5,0,10,0.47,7,0,2,1,0,0
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,5,0.44,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,4,0.25,3,1,0,0,0,0,1,0.06,1,0,0,0,0,0
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,11,0.96,8,0,1,1,0,1,2,0.18,1,0,0,0,0,1
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,10,1.36,8,0,1,1,0,0,2,0.27,2,0,0,0,0,0
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,30,2.1,21,1,2,1,4,1,4,0.28,3,0,0,0,1,0
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,103,2.87,82,0,7,12,1,1,16,0.45,11,0,1,3,0,1
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,35,1.51,28,2,2,2,1,0,5,0.22,4,0,0,1,0,0
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,5,1.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,54,1.44,37,4,4,2,6,1,7,0.19,4,2,1,0,0,0
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,25,1.06,21,3,0,0,1,0,1,0.04,0,0,0,0,1,0
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,18,1.58,16,0,0,0,1,1,0,0,0,0,0,0,0,0
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,5,0.19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,7,0.43,7,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,13,1.41,12,0,0,1,0,0,1,0.11,1,0,0,0,0,0
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,1,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,21,3.49,11,7,1,1,0,1,1,0.17,0,1,0,0,0,0
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,10,4.33,7,1,1,0,1,0,3,1.3,3,0,0,0,0,0
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,1,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,8,0.48,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,4,1.2,4,0,0,0,0,0,1,0.3,1,0,0,0,0,0
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,5,0.44,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,35,1.95,20,10,0,1,4,0,3,0.17,2,1,0,0,0,0
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,11,0.73,9,1,0,0,0,1,2,0.13,2,0,0,0,0,0
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,7,0.19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,38,1.29,28,3,0,2,3,2,4,0.14,2,0,0,0,2,0
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,17,0.92,10,2,1,3,1,0,1,0.05,1,0,0,0,0,0
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,2,1.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,9,0.45,7,0,0,1,1,0,2,0.1,1,0,0,1,0,0
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,12,0.65,10,0,0,0,1,1,0,0,0,0,0,0,0,0
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,27,1.38,16,3,1,3,4,0,6,0.31,1,1,1,1,2,0
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,46,1.87,35,8,0,1,1,1,7,0.29,6,1,0,0,0,0
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,54,3.66,38,4,4,5,3,0,6,0.41,5,0,0,1,0,0
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,49,1.62,27,20,0,2,0,0,5,0.17,2,3,0,0,0,0
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,1,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cucho,co COL,FWMF,Watford,22,1999,12.7,40,3.14,26,4,5,3,1,1,6,0.47,3,1,0,1,0,1
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,78,2.27,66,7,1,2,1,1,2,0.06,1,1,0,0,0,0
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,3,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,24,1.86,21,0,0,1,1,1,7,0.54,5,0,0,1,0,1
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,64,1.97,38,18,2,1,2,3,3,0.09,2,0,0,0,0,1
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,37,1.85,33,1,2,0,1,0,5,0.25,5,0,0,0,0,0
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,5,1.75,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,29,1.03,27,1,0,1,0,0,4,0.14,3,0,0,1,0,0
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,4,1.54,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,11,0.36,6,0,1,4,0,0,5,0.16,3,0,0,2,0,0
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,139,5.68,94,32,3,5,5,0,14,0.57,8,3,2,0,1,0
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,5,0.68,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,28,1.29,26,0,0,1,0,1,8,0.37,6,0,0,1,0,1
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,91,3.17,54,2,17,8,8,2,12,0.42,7,0,1,2,1,1
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,66,2.82,49,3,4,3,5,2,6,0.26,5,1,0,0,0,0
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,29,2.55,25,0,2,0,1,1,4,0.35,4,0,0,0,0,0
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,30,1.12,26,0,0,3,0,1,6,0.22,4,0,0,2,0,0
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,49,4.6,34,0,10,3,0,2,4,0.38,3,0,0,1,0,0
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,28,0.82,22,0,0,4,0,2,4,0.12,2,0,0,2,0,0
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,46,3.26,33,12,1,0,0,0,7,0.5,6,1,0,0,0,0
Lucas Digne,fr FRA,DF,Everton,28,1993,13,33,2.54,22,9,1,0,1,0,0,0,0,0,0,0,0,0
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,2,0.19,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,16,3.15,12,0,2,1,1,0,1,0.2,1,0,0,0,0,0
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,23,2.37,19,0,1,3,0,0,4,0.41,4,0,0,0,0,0
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,53,1.88,48,0,2,2,0,1,7,0.25,5,0,1,1,0,0
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,23,2.27,18,5,0,0,0,0,1,0.1,1,0,0,0,0,0
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,2,0.08,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,8,0.5,6,0,0,2,0,0,2,0.13,1,0,0,1,0,0
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,1,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,15,0.52,11,1,0,3,0,0,2,0.07,1,1,0,0,0,0
