Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,0,19,4,21.1,1.55,0.33,0,0,19.7,2,0,0,1.7,1.7,0.09,-1.7,-1.7
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,3,19,10,52.6,3.03,1.59,0.16,0.3,15.9,0,0,0,3.1,3.1,0.16,-0.1,-0.1
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1,21,5,23.8,0.9,0.21,0.05,0.2,24,1,0,0,0.9,0.9,0.04,0.1,0.1
Willy Boly,ci CIV,DF,Wolves,30,1991,10,0,2,1,50,0.2,0.1,0,0,8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,12,80,33,41.3,2.41,1,0.15,0.36,15.4,0,0,0,11.2,11.2,0.14,0.8,0.8
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,1,3,2,66.7,0.7,0.46,0.33,0.5,12.7,0,0,0,0.4,0.4,0.14,0.6,0.6
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,6,48,19,39.6,2.19,0.87,0.13,0.32,12.1,0,0,0,7,7,0.15,-1,-1
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,2,29,9,31,0.88,0.27,0.07,0.22,22.2,4,0,0,1.4,1.4,0.05,0.6,0.6
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,0,1,1,100,0.96,0.96,0,0,16.2,0,0,0,0,0,0.03,0,0
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,4,44,14,31.8,2.09,0.66,0.09,0.29,17,0,0,0,3.1,3.1,0.07,0.9,0.9
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,1.3,1.3,0.18,-0.3,-0.3
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,0,11,1,9.1,0.69,0.06,0,0,9.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,0,7,1,14.3,0.61,0.09,0,0,8.9,0,0,0,0.9,0.9,0.13,-0.9,-0.9
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,1,10,4,40,1.36,0.55,0.1,0.25,17.5,0,0,0,0.8,0.8,0.08,0.2,0.2
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,5,30,11,36.7,2.1,0.77,0.1,0.27,13.1,0,2,3,6.8,4.6,0.15,-1.8,-1.6
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,1,81,23,28.4,2.26,0.64,0.01,0.04,21.5,1,0,0,4.1,4.1,0.05,-3.1,-3.1
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,3,33,12,36.4,1.43,0.52,0.09,0.25,16.4,1,0,0,2.9,2.9,0.09,0.1,0.1
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,0,4,0,0,0.82,0,0,,28.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,4,36,13,36.1,0.96,0.35,0.11,0.31,18.2,0,0,0,2.5,2.5,0.07,1.5,1.5
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1,7,3,42.9,0.3,0.13,0.14,0.33,14.5,0,0,0,0.8,0.8,0.11,0.2,0.2
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,2,10,5,50,0.88,0.44,0.2,0.4,18.9,0,0,0,0.8,0.8,0.08,1.2,1.2
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,0,3,0,0,0.11,0,0,,8.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,2,18,6,33.3,2.11,0.7,0.11,0.33,11.4,0,0,0,3.4,3.4,0.19,-1.4,-1.4
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,3,9,7,77.8,0.56,0.43,0.33,0.43,18.4,0,0,0,1,1,0.11,2,2
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,1,3,1,33.3,0.32,0.11,0.33,1,14.7,0,0,0,0.2,0.2,0.08,0.8,0.8
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,0,2,0,0,1.06,0,0,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,3,13,6,46.2,2.16,1,0.23,0.5,17.9,0,0,0,1.2,1.2,0.09,1.8,1.8
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,0,5,2,40,2.16,0.87,0,0,11.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
