Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Thomas Dickson-Peters,sct SCO,FW,Norwich City,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Eric Dier,eng ENG,DF,Tottenham,27,1994,35,3071,88,89.8,34.1,35,88,34,0,,0,1.94,64,30,34,1,2.29,58.6,31.5,27,0.79,1.12
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,16,1269,79,37.1,14.1,16,79,13,0,,0,1.19,21,20,1,0.07,0.2,17.8,18.5,-0.7,-0.05,0.13
Lucas Digne,fr FRA,DF,Everton,28,1993,13,1170,90,34.2,13,13,90,13,0,,1,1.15,16,22,-6,-0.46,0.22,16.6,18.4,-1.9,-0.14,0.26
Issa Diop,fr FRA,DF,West Ham,24,1997,13,963,74,28.2,10.7,10,90,9,3,22,21,1.62,19,19,0,0,-0.33,15.5,16.1,-0.7,-0.06,-0.05
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,457,38,13.4,5.1,5,73,2,7,13,10,1.08,4,10,-6,-1.18,-0.63,7.3,8.1,-0.8,-0.17,0.17
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,32,11,0.9,0.4,0,,0,3,11,8,1.67,1,1,0,0,0.61,0.4,0.6,-0.2,-0.69,-0.38
Owen Dodgson,eng ENG,DF,Burnley,18,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,875,58,25.6,9.7,9,80,6,6,26,13,2.13,27,11,16,1.65,1.19,20.1,9.4,10.7,1.1,0.57
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,3063,88,89.6,34,35,88,31,0,,0,1.97,61,37,24,0.71,3.48,57.4,36.7,20.8,0.61,2.61
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,2537,85,74.2,28.2,29,87,27,1,7,1,1.13,33,47,-14,-0.5,0.42,31.5,39.8,-8.3,-0.3,0.07
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,19,912,48,26.7,10.1,11,75,3,8,11,17,0.47,8,24,-16,-1.58,0.04,10,22.6,-12.6,-1.24,-0.13
Thomas Doyle,eng ENG,MF,Manchester City,19,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Cody Drameh,eng ENG,DF,Leeds United,19,2001,3,128,43,3.7,1.4,1,90,1,2,19,7,1,1,6,-5,-3.52,-2.64,1.8,4.3,-2.5,-1.79,-1.24
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,2340,90,68.4,26,26,90,26,0,,3,1.65,29,35,-6,-0.23,0.77,28.5,34.4,-5.9,-0.23,0.55
Shane Duffy,ie IRL,DF,Brighton,29,1992,18,1436,80,42,16,15,90,15,3,29,12,1.39,15,19,-4,-0.25,-0.34,16.2,18.1,-1.9,-0.12,-0.23
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,198,66,5.8,2.2,2,76,1,1,46,13,2.33,1,1,0,0,0.5,2.1,2.2,-0.1,-0.05,0.37
Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,2573,89,75.2,28.6,29,89,28,0,,1,1.38,32,32,0,0,0.21,35.9,33.7,2.1,0.07,0.25
Ederson,br BRA,GK,Manchester City,27,1993,37,3330,90,97.4,37,37,90,37,0,,0,2.43,97,26,71,1.92,-0.08,86.5,26.1,60.4,1.63,0.72
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,1564,56,45.7,17.4,18,78,6,10,15,7,1.36,24,19,5,0.29,0.34,22.2,21,1.1,0.07,-0.13
Samuel Edozie,eng ENG,FW,Manchester City,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,4,4,0.1,0,0,,0,1,4,6,3,2,0,2,45,43.13,1.1,0,1.1,24.51,22.93
Pierre Ekwah Elimby,fr FRA,MF,West Ham,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,21,1214,58,35.5,13.5,14,78,5,7,17,3,1.43,20,17,3,0.22,0.34,18.8,17.2,1.6,0.12,0.17
Rob Elliot,ie IRL,GK,Watford,35,1986,0,,,,,0,,0,0,,9,,,,,,,,,,,
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,346,58,10.1,3.8,4,77,2,2,20,6,2.67,7,2,5,1.3,-0.54,11,3.3,7.7,2.01,0.61
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,806,58,23.6,9,8,90,8,6,14,19,1.71,20,17,3,0.33,-0.01,15.8,14.4,1.4,0.15,-0.24
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,30,2042,68,59.7,22.7,23,82,12,7,23,5,1.1,24,35,-11,-0.48,0.36,32,32.4,-0.4,-0.02,0.73
Emerson,br BRA,DF,Tottenham,22,1999,31,2286,74,66.8,25.4,26,85,17,5,16,3,1.81,43,26,17,0.67,-0.28,44.3,24.4,19.8,0.78,0.31
Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,939,85,27.5,10.4,10,90,10,1,39,0,2,20,10,10,0.96,1.61,16.5,12.8,3.7,0.36,0.55
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,401,45,11.7,4.5,4,87,3,5,11,3,0.89,3,8,-5,-1.12,0.01,3.1,5.9,-2.9,-0.64,0.1
Jonny Evans,nir NIR,DF,Leicester City,33,1988,18,1348,75,39.4,15,16,81,12,2,29,2,1.61,27,23,4,0.27,0.31,22.9,22.5,0.4,0.03,0.48
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,605,47,17.7,6.7,6,80,2,7,18,12,1,6,8,-2,-0.3,-0.49,8.6,5.5,3,0.45,0.38
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,3330,90,97.4,37,37,90,37,0,,0,1.51,60,50,10,0.27,1.27,49.3,48.9,0.4,0.01,1.42
Fabinho,br BRA,MF,Liverpool,27,1993,29,2314,80,67.7,25.7,26,86,21,3,27,1,2.38,62,18,44,1.71,-0.24,60.1,23.4,36.7,1.43,-0.09
Josh Feeney,eng ENG,DF,Aston Villa,16,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kiko Femenía,es ESP,DF,Watford,30,1991,27,2142,79,62.6,23.8,26,81,17,1,25,0,0.56,21,49,-28,-1.18,-0.12,23.6,38.5,-14.9,-0.63,0.27
Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,23,23,0.7,0.3,0,,0,1,23,16,0,0,1,-1,-3.91,-3.89,0.1,0.5,-0.4,-1.41,-1.44
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,9,9,0.3,0.1,0,,0,1,9,3,0,0,0,0,0,-0.11,0,0.6,-0.6,-5.9,-6.05
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,3111,86,91,34.6,35,88,26,1,31,0,1.44,49,54,-5,-0.14,-1.6,50.2,51.1,-1,-0.03,-0.39
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,1080,90,31.6,12,12,90,12,0,,19,0.92,13,24,-11,-0.92,-1.03,11,17.8,-6.7,-0.56,-0.76
Álvaro Fernández,es ESP,DF,Manchester Utd,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,523,75,15.3,5.8,5,87,4,2,43,11,0.86,7,12,-5,-0.86,-0.46,7.9,10.3,-2.4,-0.41,-0.01
Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,964,51,28.2,10.7,10,82,7,9,17,19,2.63,34,12,22,2.05,0.19,25.7,10.8,14.9,1.4,-0.3
Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,990,50,28.9,11,10,77,3,10,22,2,2.25,32,9,23,2.09,0.42,24.5,10.4,14,1.27,-0.26
Junior Firpo,es ESP,DF,Leeds United,24,1996,24,1711,71,50,19,19,78,11,5,47,1,0.83,18,49,-31,-1.63,-1.31,22.2,39.4,-17.2,-0.9,-0.61
Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,30,10,0.9,0.3,0,,0,3,10,14,0,0,0,0,0,1.14,0.9,0.2,0.7,2.2,2.95
Marcelo Flores,mx MEX,MF,Arsenal,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Phil Foden,eng ENG,FW,Manchester City,21,2000,28,2128,76,62.2,23.6,24,84,15,4,26,5,2.43,59,16,43,1.82,-0.27,53.3,16.3,36.9,1.56,-0.13
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,630,90,18.4,7,7,90,7,0,,2,1.43,13,7,6,0.86,0.95,8.6,9.1,-0.5,-0.06,0.25
Shaqai Forde,eng ENG,FW,Watford,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,36,2795,78,81.7,31.1,32,85,19,4,20,0,1.39,45,38,7,0.23,-0.06,37.1,40.6,-3.5,-0.11,-0.46
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,22,1530,70,44.7,17,17,83,13,5,23,4,1.05,20,41,-21,-1.24,-0.47,20.4,32.9,-12.5,-0.74,-0.24
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,209,30,6.1,2.3,1,90,1,6,20,16,0.86,4,4,0,0,0.22,4.6,4.5,0.1,0.06,0.11
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,1710,90,50,19,19,90,19,0,,14,1.21,25,35,-10,-0.53,0.21,23.5,31.8,-8.2,-0.43,-0.24
Ben Foster,eng ENG,GK,Watford,38,1983,26,2340,90,68.4,26,26,90,26,0,,2,0.77,24,49,-25,-0.96,0.54,27.4,44,-16.6,-0.64,0.28
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,17,17,0.5,0.2,0,,0,1,17,7,0,1,0,1,5.29,5.53,0.1,0.3,-0.2,-0.84,-0.81
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,27,1465,54,42.8,16.3,18,74,5,9,15,3,1.19,21,24,-3,-0.18,0.51,16.6,22.6,-5.9,-0.37,0.06
Fred,br BRA,MF,Manchester Utd,28,1993,28,2028,72,59.3,22.5,24,81,14,4,23,3,1.75,32,31,1,0.04,0.11,30.3,31.5,-1.3,-0.06,-0.16
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,7,307,44,9,3.4,3,75,2,4,21,18,1.57,7,6,1,0.29,0.06,3.5,3.9,-0.4,-0.11,-0.09
Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,2,150,75,4.4,1.7,0,,0,2,75,14,1.5,2,5,-3,-1.8,-0.86,2.3,3.8,-1.6,-0.94,-0.36
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,2845,84,83.2,31.6,33,86,26,1,17,0,1.32,41,38,3,0.09,-0.06,37.2,33.6,3.6,0.11,-0.14
Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,2,13,7,0.4,0.1,0,,0,2,7,5,0.5,0,0,0,0,0,0.1,0,0.1,1.02,1.01
Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,8,38,5,1.1,0.4,0,,0,8,5,28,1.5,1,0,1,2.37,2.87,1.6,0.5,1.1,2.57,3
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,3,67,22,2,0.7,1,45,0,2,11,13,0.67,1,2,-1,-1.34,-0.75,0.8,1.3,-0.5,-0.65,-0.35
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,3420,90,100,38,38,90,38,0,,0,1.53,57,57,0,0,,54.8,54.5,0.3,0.01,
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,20,746,37,21.8,8.3,5,73,2,15,25,11,0.65,11,25,-14,-1.69,-0.91,12.3,20.3,-7.9,-0.96,-0.46
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,9,386,43,11.3,4.3,4,79,2,5,14,9,1.11,6,8,-2,-0.47,-0.47,3.6,6.9,-3.3,-0.78,-0.73
Anwar El Ghazi,nl NED,FW,Everton,26,1995,2,13,7,0.4,0.1,0,,0,2,7,8,1.5,0,0,0,0,0.61,0.1,0,0.1,0.95,1.27
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,17,536,32,15.7,6,4,65,0,13,21,16,0.82,10,4,6,1.01,1.44,9.5,6.9,2.6,0.44,0.57
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,18,1169,65,34.2,13,14,80,10,4,13,19,0.78,5,27,-22,-1.69,-0.13,12.2,25.8,-13.6,-1.05,0.15
Liam Gibbs,eng ENG,MF,Norwich City,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,2,9,5,0.3,0.1,0,,0,2,5,1,0,0,0,0,0,0.13,0.3,0,0.3,2.55,3.2
Ben Gibson,eng ENG,DF,Norwich City,28,1993,28,2494,89,72.9,27.7,28,89,27,0,,7,0.79,20,55,-35,-1.26,1.26,25.4,53.6,-28.2,-1.02,0.48
Mark Gillespie,eng ENG,GK,Newcastle Utd,29,1992,0,,,,,0,,0,0,,11,,,,,,,,,,,
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,24,1855,77,54.2,20.6,21,86,15,3,16,7,0.33,8,52,-44,-2.13,-1.16,18.5,45.2,-26.7,-1.29,-0.32
Ben Godfrey,eng ENG,DF,Everton,23,1998,23,2029,88,59.3,22.5,23,88,21,0,,1,0.83,21,39,-18,-0.8,-0.47,23.5,31.2,-7.7,-0.34,-0.07
Pierluigi Gollini,it ITA,GK,Tottenham,26,1995,0,,,,,0,,0,0,,35,,,,,,,,,,,
André Gomes,pt POR,MF,Everton,28,1993,14,619,44,18.1,6.9,7,68,2,7,21,7,1.14,10,19,-9,-1.31,-0.86,7.5,12.9,-5.4,-0.78,-0.57
Toti Gomes,pt POR,DF,Wolves,22,1999,4,360,90,10.5,4,4,90,4,0,,12,1.75,7,6,1,0.25,0.43,4.3,6.8,-2.5,-0.62,0.02
Joe Gomez,eng ENG,DF,Liverpool,24,1997,8,331,41,9.7,3.7,4,79,3,4,4,21,2.5,7,3,4,1.09,-0.78,8.4,2,6.4,1.74,0.31
Anthony Gomez Mancini,fr FRA,MF,Burnley,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Charlie Goode,eng ENG,DF,Brentford,25,1995,6,450,75,13.2,5,4,90,4,2,45,6,1.33,6,6,0,0,0.24,6.5,6.5,-0.1,-0.01,0.03
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,35,2285,65,66.8,25.4,25,83,14,10,20,2,0.91,23,40,-17,-0.67,-0.19,27.5,34.5,-7,-0.27,0.12
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,1,9,9,0.3,0.1,0,,0,1,9,3,3,0,0,0,0,-1.79,0.5,0.2,0.3,3.35,1.9
Dan Gosling,eng ENG,MF,Watford,31,1990,4,166,42,4.9,1.8,2,68,1,2,16,14,1,2,6,-4,-2.17,-1.09,1.2,3.9,-2.7,-1.46,-0.77
Archie Gray,eng ENG,MF,Leeds United,15,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,
Demarai Gray,eng ENG,MFFW,Everton,25,1996,34,2338,69,68.4,26,28,79,9,6,20,0,1.03,30,39,-9,-0.35,0.82,30.1,31.3,-1.2,-0.05,0.84
Jack Grealish,eng ENG,FW,Manchester City,25,1995,26,1914,74,56,21.3,22,85,15,4,12,8,2.31,52,8,44,2.07,0.34,50.6,12.5,38,1.79,0.4
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,18,1271,71,37.2,14.1,16,76,4,2,27,3,1.72,22,18,4,0.28,0.45,20.1,18.7,1.4,0.1,0.15
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,7,237,34,6.9,2.6,1,84,0,6,26,14,1.57,7,5,2,0.76,1.86,5.2,3.6,1.5,0.58,1.27
Jack Grieves,eng ENG,FW,Watford,16,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pascal Groß,de GER,MFDF,Brighton,30,1991,29,2038,70,59.6,22.6,24,81,14,5,18,6,1.34,19,24,-5,-0.22,-0.42,26.9,27.8,-0.9,-0.04,-0.13
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,2655,89,77.6,29.5,30,89,29,0,,5,1.27,38,33,5,0.17,0.29,37.8,31.9,6,0.2,0.29
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,3222,90,94.2,35.8,36,90,35,0,,1,1.25,49,43,6,0.17,1.08,44.8,37.5,7.3,0.2,1.17
Frederic Guilbert,fr FRA,DFMF,Aston Villa,26,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,1034,61,30.2,11.5,11,87,7,6,13,0,2,13,13,0,0,0.68,14,13.9,0.1,0.01,0.59
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,1857,69,54.3,20.6,20,84,15,7,24,8,2.7,62,10,52,2.52,1.31,52.7,13.5,39.2,1.9,0.63
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,810,90,23.7,9,9,90,9,0,,29,0.56,6,22,-16,-1.78,-0.23,6.8,20.6,-13.7,-1.53,-0.49
Patrik Gunnarsson,is ISL,GK,Brentford,20,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Lewis Hall,eng ENG,MF,Chelsea,16,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Grant Hanley,sct SCO,DF,Norwich City,29,1991,33,2897,88,84.7,32.2,33,88,31,0,,0,0.58,20,70,-50,-1.55,0.34,27.6,63.9,-36.3,-1.13,0.13
Reece Hannam,eng ENG,DF,Crystal Palace,20,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,35,2639,75,77.2,29.3,32,77,20,3,55,2,0.89,31,68,-37,-1.26,-1.26,31.9,58,-26.1,-0.89,-1.27
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,7,397,57,11.6,4.4,4,87,3,3,16,19,1.14,6,9,-3,-0.68,-0.71,5.7,6.6,-1,-0.22,-0.11
Kai Havertz,de GER,FWMF,Chelsea,22,1999,29,1809,62,52.9,20.1,22,77,11,7,16,6,2,44,18,26,1.29,0.34,35.8,21.6,14.1,0.7,-0.26
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,14,1002,72,29.3,11.1,12,82,9,2,11,3,0.36,11,25,-14,-1.26,-1.11,8.9,19.6,-10.6,-0.96,-0.79
Maxwell Haygarth,eng ENG,MF,Brentford,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Tom Heaton,eng ENG,GK,Manchester Utd,35,1986,0,,,,,0,,0,0,,14,,,,,,,,,,,
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,30,1816,61,53.1,20.2,20,77,4,10,29,1,1.37,19,22,-3,-0.15,-0.04,16.9,36,-19,-0.94,-0.64
Dean Henderson,eng ENG,GK,Manchester Utd,24,1997,0,,,,,0,,0,0,,30,,,,,,,,,,,
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,35,2597,74,75.9,28.9,29,83,18,6,30,0,2.43,73,22,51,1.77,-0.09,66.5,25.1,41.4,1.43,-0.09
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,3,72,24,2.1,0.8,0,,0,3,24,14,0,1,3,-2,-2.5,-2.07,0.8,1.4,-0.7,-0.86,-0.47
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,180,90,5.3,2,2,90,2,0,,36,0,2,6,-4,-2,-1.58,1.7,3.4,-1.7,-0.83,-0.38
Rico Henry,eng ENG,DF,Brentford,24,1997,34,2776,82,81.2,30.8,33,83,24,1,27,0,1.26,40,41,-1,-0.03,0.95,40.1,39.9,0.2,0.01,0.24
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,35,3006,86,87.9,33.4,35,86,20,0,,0,1.94,65,30,35,1.05,2.35,58.2,32.5,25.7,0.77,0.74
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,8,308,39,9,3.4,4,74,3,4,4,21,0.75,0,5,-5,-1.46,-1.46,2.6,6.3,-3.6,-1.06,-0.46
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,36,3196,89,93.5,35.5,36,89,33,0,,1,1.94,66,34,32,0.9,2.11,59.1,36,23.1,0.65,-0.43
Rob Holding,eng ENG,DF,Arsenal,25,1995,15,845,56,24.7,9.4,9,84,8,6,16,21,2.07,18,14,4,0.43,0.11,13.9,12.5,1.5,0.16,-0.24
Mason Holgate,eng ENG,DF,Everton,24,1996,25,2134,85,62.4,23.7,23,90,22,2,34,10,1.08,29,42,-13,-0.55,0.15,27.4,35.4,-7.9,-0.33,-0.06
Conor Hourihane,ie IRL,MF,Aston Villa,30,1991,0,,,,,0,,0,0,,2,,,,,,,,,,,
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,15,962,64,28.1,10.7,11,80,3,4,20,7,1.93,24,8,16,1.5,0.51,18.5,8.7,9.8,0.92,0.13
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,16,1053,66,30.8,11.7,13,79,5,3,9,15,1.56,17,16,1,0.09,-0.03,14,16,-2,-0.17,-0.45
Omari Hutchinson,eng ENG,DF,Arsenal,17,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,17,625,37,18.3,6.9,6,83,3,11,12,6,0.76,7,11,-4,-0.58,1.26,7.2,11.2,-4,-0.57,0.7
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,26,1264,49,37,14,13,76,4,13,21,9,1.12,18,25,-7,-0.5,-0.92,15.6,23.5,-7.9,-0.56,-0.47
Danny Ings,eng ENG,FW,Aston Villa,29,1992,30,1898,63,55.5,21.1,22,79,7,8,20,3,1.23,29,26,3,0.14,0.44,27.6,24.7,2.9,0.14,0.59
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,3,92,31,2.7,1,1,72,0,2,10,19,2.33,1,0,1,0.98,1.06,1.3,0.6,0.7,0.69,0.84
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,28,2035,73,59.5,22.6,22,86,15,6,23,7,1.32,27,38,-11,-0.49,0.29,26.5,34.3,-7.9,-0.35,-0.08
Karl Jakob Hein,ee EST,GK,Arsenal,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Eldin Jakupović,ch SUI,GK,Leicester City,36,1984,0,,,,,0,,0,0,,9,,,,,,,,,,,
Daniel James,wls WAL,FWMF,Leeds United,23,1997,32,2366,74,69.2,26.3,29,78,18,3,33,0,1,31,48,-17,-0.65,1.06,33.6,46,-12.4,-0.47,0.42
Daniel James,wls WAL,FW,Manchester Utd,23,1997,2,126,63,3.7,1.4,2,63,0,0,,1,3,5,1,4,2.86,2.97,1.8,1.1,0.7,0.5,0.51
Reece James,eng ENG,DF,Chelsea,21,1999,26,1864,72,54.5,20.7,22,81,17,4,23,1,1.73,41,21,20,0.97,-0.36,41.7,19.4,22.4,1.08,0.56
Vitaly Janelt,de GER,MF,Brentford,23,1998,31,2298,74,67.2,25.5,27,80,13,4,32,1,1.29,35,37,-2,-0.08,0.4,33.2,32.4,0.8,0.03,0.21
Pontus Jansson,se SWE,DF,Brentford,30,1991,37,3321,90,97.1,36.9,37,90,36,0,,0,1.16,46,56,-10,-0.27,-2.09,45.8,48.7,-2.9,-0.08,-1.31
Julian Jeanvier,gn GUI,DF,Brentford,29,1992,0,,,,,0,,0,0,,6,,,,,,,,,,,
Jack Jenkins,eng ENG,MF,Leeds United,19,2002,0,,,,,0,,0,0,,9,,,,,,,,,,,
Mathias Jensen,dk DEN,MF,Brentford,25,1996,31,1601,52,46.8,17.8,19,72,8,12,20,4,1,15,30,-15,-0.84,-1.19,22.1,24.2,-2.1,-0.12,-0.15
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,1877,67,54.9,20.9,21,84,13,7,17,6,2.43,50,15,35,1.68,-0.54,45.3,13.8,31.5,1.51,-0.22
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,2631,77,76.9,29.2,30,85,20,4,22,0,1.24,28,28,0,0,0.57,28.2,38.9,-10.7,-0.37,1.19
João Pedro,br BRA,FWMF,Watford,19,2001,28,1644,59,48.1,18.3,15,84,10,13,29,1,0.46,19,35,-16,-0.88,0.49,21.8,32.8,-11,-0.6,0.24
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,35,2558,73,74.8,28.4,30,83,24,5,14,1,1.31,34,46,-12,-0.42,0.2,33.1,39,-5.9,-0.21,0.76
Ryan John Giles,eng ENG,MF,Wolves,21,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ben Johnson,eng ENG,DF,West Ham,21,2000,20,1397,70,40.8,15.5,16,84,13,4,14,12,1.7,23,18,5,0.32,0.14,21.2,22.4,-1.2,-0.08,-0.09
Curtis Jones,eng ENG,MF,Liverpool,20,2001,15,851,57,24.9,9.5,10,77,4,5,16,10,2.47,26,9,17,1.8,0.01,19.6,10,9.6,1.01,-0.59
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,4,163,41,4.8,1.8,2,68,1,2,14,20,1,0,3,-3,-1.66,-1.74,1,2.8,-1.8,-0.99,-1.04
Bruno Jordão,pt POR,MF,Wolves,22,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,8,518,65,15.1,5.8,6,77,5,2,29,6,1.25,8,10,-2,-0.35,-0.16,7.5,7,0.5,0.09,0.15
Jorginho,it ITA,MF,Chelsea,29,1991,29,2273,78,66.5,25.3,26,84,18,3,28,7,2.07,53,17,36,1.43,0.88,45.7,18.1,27.6,1.09,0.8
Diogo Jota,pt POR,FW,Liverpool,24,1996,35,2364,68,69.1,26.3,27,80,10,8,25,1,2.37,58,19,39,1.48,-0.99,59.2,23.8,35.4,1.35,-0.35
James Justin,eng ENG,DF,Leicester City,23,1998,13,998,77,29.2,11.1,11,85,10,2,34,2,1.46,20,13,7,0.63,0.78,14.3,15.6,-1.2,-0.11,0.22
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11,922,84,27,10.2,11,84,9,0,,8,0.18,4,25,-21,-2.05,-0.61,7.1,18,-10.8,-1.06,0.12
Christian Kabasele,be BEL,DF,Watford,30,1991,16,1193,75,34.9,13.3,12,90,12,4,28,15,0.69,10,30,-20,-1.51,-0.58,12.8,21.1,-8.3,-0.63,0.15
Samuel Kalu,ng NGA,FW,Watford,23,1997,4,222,56,6.5,2.5,2,88,1,2,24,7,0.25,1,6,-5,-2.03,-0.96,1.8,3.9,-2.1,-0.86,-0.14
Abu Kamara,eng ENG,FW,Norwich City,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Hassane Kamara,ci CIV,DF,Watford,27,1994,19,1623,85,47.5,18,18,88,15,1,45,0,0.47,10,36,-26,-1.44,-0.59,17.2,27.2,-10,-0.55,0.33
Harry Kane,eng ENG,FW,Tottenham,28,1993,37,3232,87,94.5,35.9,36,89,35,1,19,0,1.84,66,40,26,0.72,-0.71,61.9,36.3,25.6,0.71,0.63
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26,1773,68,51.8,19.7,21,79,11,5,22,1,1.92,34,19,15,0.76,-0.77,32.4,17.2,15.2,0.77,-0.11
Michał Karbownik,pl POL,DF,Brighton,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
