Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,8,0,0,36,17,2,2,57,45,0,1,0,199,50,30,62.5
Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,9,0,0,55,26,0,7,67,54,0,0,0,412,73,58,55.7
Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,8,0,0,16,26,34,12,5,8,2,0,0,101,48,58,45.3
Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,3,1,0,15,4,5,3,4,2,0,0,0,40,44,63,41.1
Danny Rose,eng ENG,DF,Watford,31,1990,7.7,4,0,0,12,16,0,15,15,15,0,1,0,51,4,6,40
Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,0,0,0,6,8,1,5,4,3,0,0,0,15,2,11,15.4
John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,9,0,0,41,16,0,14,43,28,2,0,0,284,67,30,69.1
Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,0,0,0,11,11,0,4,17,8,0,0,0,94,6,7,46.2
José Sá,pt POR,GK,Wolves,28,1993,36.5,3,0,0,3,13,0,0,0,0,0,3,1,220,0,0,
Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,6,0,0,24,71,13,69,21,6,0,0,0,179,19,30,38.8
Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,6,0,0,35,18,3,7,81,38,0,2,0,260,84,43,66.1
Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,6,0,0,38,76,17,72,31,23,2,0,0,200,30,57,34.5
Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,1,0,0,13,30,12,51,15,7,2,0,0,176,13,46,22
Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33,10,1,1,49,13,2,26,93,60,0,0,1,397,128,62,67.4
Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,5,0,0,17,17,0,3,23,13,0,0,0,124,21,23,47.7
Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,4,0,0,16,12,1,2,34,22,0,0,0,153,56,38,59.6
Robert Sánchez,es ESP,GK,Brighton,23,1997,37,3,1,0,0,3,0,0,0,0,0,0,0,166,0,0,
Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,0,0,0,7,9,7,32,24,13,0,0,0,145,2,22,8.3
Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4,0,0,0,6,15,0,6,11,8,0,0,0,34,2,3,40
Samir Santos,br BRA,DF,Watford,26,1994,18.6,4,0,0,18,16,0,0,54,19,0,0,0,171,55,36,60.4
Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,1,0,0,13,29,4,13,21,17,0,0,0,103,42,53,44.2
Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,0,0,0,0,3,0,0,1,1,0,0,0,6,1,2,33.3
Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,2,0,0,21,47,12,48,16,7,0,0,0,105,13,23,36.1
Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,2,0,0,9,1,0,4,12,4,0,0,0,51,14,7,66.7
Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24,4,0,0,33,13,3,6,75,11,0,0,0,208,51,45,53.1
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,1,0,0,32,28,0,19,25,23,1,0,0,178,40,37,51.9
Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,2,0,0,0,2,0,0,0,0,0,0,0,159,0,1,0
Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,1,0,0,19,9,0,18,9,8,0,0,0,63,10,22,31.3
Nélson Semedo,pt POR,DF,Wolves,27,1993,23.7,1,0,0,23,24,4,26,43,40,0,1,0,177,20,32,38.5
Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,11.6,2,0,0,27,9,5,26,19,14,0,0,0,61,13,15,46.4
Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,4,0,0,14,7,0,4,10,18,0,0,0,68,6,13,31.6
Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,8,0,0,35,18,2,44,15,13,0,1,0,145,22,20,52.4
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22,7,1,1,20,11,0,13,35,14,0,0,0,213,13,14,48.1
Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,0,0,0,5,2,0,0,14,4,0,0,1,33,18,4,81.8
Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,6,0,0,36,37,9,65,32,33,1,0,0,214,14,19,42.4
Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,0,0,0,14,8,4,4,4,5,0,0,0,33,14,36,28
Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,2,0,0,13,15,1,1,65,23,1,0,0,307,68,32,68
Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,42.9
Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,5,0,0,45,16,2,24,44,40,0,0,0,385,85,58,59.4
Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15,6,0,0,20,23,1,5,19,18,0,0,0,133,12,14,46.2
William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,0,0,0,3,1,0,1,2,5,0,0,0,9,2,5,28.6
Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,1,0,0,7,30,2,21,20,16,0,0,0,144,8,20,28.6
Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,3,0,0,18,9,3,62,20,20,0,1,0,154,22,24,47.8
Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,0,0,0,7,1,0,0,15,16,0,1,0,56,14,12,53.8
Tomáš Souček,cz CZE,MF,West Ham,26,1995,34,3,0,0,49,20,4,13,55,41,0,0,0,331,140,143,49.5
Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,0,0,0,20,21,0,5,17,13,0,0,0,108,29,14,67.4
Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,5,0,0,32,15,1,5,50,30,0,2,0,299,99,53,65.1
Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,1,0,0,1,4,0,2,0,1,0,0,0,8,1,5,16.7
Jason Steele,eng ENG,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Zack Steffen,us USA,GK,Manchester City,26,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,1,0,0,4,1,0,0,2,2,0,0,0,19,1,2,33.3
Jack Stephens,eng ENG,DF,Southampton,27,1994,9,3,0,0,11,3,0,0,27,12,0,0,0,97,19,16,54.3
Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,1,0,0,27,46,9,52,15,18,2,0,0,112,5,28,15.2
Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100
John Stones,eng ENG,DF,Manchester City,27,1994,12.4,0,0,0,3,9,0,1,17,4,0,0,0,86,54,11,83.1
Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,6,1,0,29,10,1,0,63,35,0,0,0,230,47,36,56.6
Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,0,0,0,1,2,0,4,5,4,0,0,0,16,1,5,16.7
Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,4,1,1,20,10,1,10,17,12,0,0,0,46,19,10,65.5
Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,2,0,0,19,13,0,41,35,15,0,1,1,129,31,20,60.8
Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,1,0,0,11,13,1,30,35,23,0,0,0,136,24,21,53.3
James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,11,0,0,34,22,2,2,72,42,0,0,1,377,171,78,68.7
Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,2,0,0,27,14,1,32,24,12,0,1,0,101,26,27,49.1
Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,3,0,0,20,48,0,67,72,24,0,0,0,275,66,34,66
Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,2,0,0,21,23,3,9,19,5,0,0,0,78,8,27,22.9
Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,1,0,0,26,16,1,63,36,27,0,2,0,131,31,22,58.5
Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,2,0,0,20,18,0,23,40,29,0,0,0,192,30,39,43.5
Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,0,0,0,1,1,0,1,3,1,0,0,0,12,1,2,33.3
Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,3,0,0,53,50,0,24,41,49,0,4,0,261,30,27,52.6
Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,0,0,0,7,19,1,72,31,12,0,0,0,171,16,20,44.4
Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,2,0,0,20,14,0,27,36,17,0,0,0,197,57,51,52.8
James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,2,0,0,7,2,0,0,10,6,0,0,0,46,13,7,65
Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,8,0,0,61,84,25,29,21,20,3,0,0,145,150,140,51.7
Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,0,0,0,1,1,1,2,1,1,0,0,0,12,1,3,25
Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,3,0,0,10,44,1,56,21,15,0,1,0,120,5,22,18.5
Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,0,0,0,13,40,9,28,4,9,0,0,0,64,12,26,31.6
Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,0,0,0,0,4,2,6,0,0,1,0,0,18,5,7,41.7
Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,0,0,0,16,23,1,24,15,15,0,0,0,95,5,20,20
Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,0,0,0,5,3,0,11,11,13,0,0,0,46,12,5,70.6
William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,3,0,0,17,1,1,1,23,10,0,1,0,115,32,17,65.3
Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,2,0,0,28,39,13,62,29,24,1,1,0,198,10,32,23.8
Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,3,0,0,22,8,0,57,14,10,0,0,0,93,10,11,47.6
Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,1,0,0,5,3,0,1,9,6,0,0,0,43,12,11,52.2
Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,0,0,0,9,0,1,3,2,2,0,0,0,35,4,9,30.8
Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,0,0,0,3,5,2,9,2,2,0,0,0,25,4,18,18.2
Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,0,0,0,5,3,0,2,12,7,0,0,0,42,15,8,65.2
Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,3,0,0,10,12,0,0,47,12,0,0,0,410,135,40,77.1
Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,0,0,0,7,7,0,0,35,16,0,0,0,184,63,34,64.9
Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,2,0,0,14,13,19,17,7,4,0,0,1,43,28,48,36.8
Joël Veltman,nl NED,DF,Brighton,29,1992,31.9,6,0,0,48,38,0,30,67,40,1,1,0,318,69,42,62.2
Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,6.3,2,0,0,6,1,0,0,15,11,0,1,0,47,16,11,59.3
Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,6.2,0,0,0,9,19,3,15,10,11,0,0,0,44,6,11,35.3
Matěj Vydra,cz CZE,FW,Burnley,29,1992,7.5,1,0,0,13,11,5,3,3,8,0,0,0,24,19,62,23.5
Theo Walcott,eng ENG,MFFW,Southampton,32,1989,4.2,0,0,0,2,6,2,4,7,3,0,0,0,21,3,4,42.9
Kyle Walker,eng ENG,DF,Manchester City,31,1990,19.5,1,0,0,7,13,1,28,25,16,0,0,0,155,21,17,55.3
Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,29.3,5,0,0,29,53,3,33,56,27,0,0,0,252,32,40,44.4
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,19.9,2,0,0,19,17,1,22,51,25,0,1,0,164,19,31,38
Danny Ward,wls WAL,GK,Leicester City,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Joel Ward,eng ENG,DF,Crystal Palace,31,1989,27.6,8,0,0,30,25,1,30,54,28,0,0,0,244,80,37,68.4
James Ward-Prowse,eng ENG,MF,Southampton,26,1994,35.7,3,1,0,30,30,0,68,60,26,0,0,0,414,34,40,45.9
Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,32.8,7,0,0,38,48,17,23,17,14,1,0,0,104,88,120,42.3
Adam Webster,eng ENG,DF,Brighton,26,1995,15.9,5,0,0,18,3,0,4,25,13,0,0,0,186,66,18,78.6
Wout Weghorst,nl NED,FW,Burnley,28,1992,16.1,3,0,0,33,21,9,8,8,12,0,0,0,97,66,107,38.2
Danny Welbeck,eng ENG,FW,Brighton,30,1990,16.4,0,0,0,19,19,4,6,5,12,1,0,0,51,47,66,41.6
Timo Werner,de GER,FWMF,Chelsea,25,1996,14.3,1,0,0,13,15,11,28,4,4,0,0,0,72,9,22,29
Ashley Westwood,eng ENG,MF,Burnley,31,1990,25.4,7,0,0,32,25,0,37,43,23,0,1,0,268,10,21,32.3
Ben White,eng ENG,DF,Arsenal,23,1997,32,3,0,0,22,29,0,4,66,23,0,1,1,302,68,45,60.2
Brandon Williams,eng ENG,DF,Norwich City,20,2000,23.6,8,0,0,26,53,0,18,61,29,0,0,0,172,22,20,52.4
Neco Williams,wls WAL,DF,Liverpool,20,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,22.6,0,0,0,41,32,0,13,30,44,0,0,0,147,19,36,34.5
Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,15.4,4,0,0,31,26,17,5,4,6,0,0,0,40,30,78,27.8
Harry Winks,eng ENG,MF,Tottenham,25,1996,10.1,2,0,0,12,16,0,9,19,7,0,0,0,75,5,7,41.7
Yoane Wissa,cd COD,FWMF,Brentford,24,1996,14.3,0,0,0,11,27,7,12,9,8,0,0,0,67,26,27,49.1
Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,0,0,0,22,13,10,2,2,3,1,0,0,51,146,128,53.3
Chris Wood,nz NZL,FW,Burnley,29,1991,15.2,1,0,0,14,9,16,5,4,8,0,0,0,41,114,105,52.1
Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,10,1,0,35,23,2,18,31,24,0,1,0,248,36,29,55.4
Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,3.5,1,0,0,1,5,3,5,1,0,0,0,0,17,4,8,33.3
Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,2,0,0,20,34,1,29,22,15,0,0,1,91,12,18,40
Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,6,1,1,41,124,25,49,24,35,1,0,0,212,19,52,26.8
Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,0,0,0,1,2,0,0,3,3,0,0,0,16,2,1,66.7
Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,0,0,0,11,4,1,28,18,11,0,0,0,114,17,16,51.5
Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,14.7,3,0,0,30,38,5,65,20,11,0,0,0,131,11,18,37.9
Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,1,0,0,12,10,0,2,47,5,0,0,1,164,55,25,68.8
