Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Ollie Watkins,eng ENG,FW,Aston Villa,24,1995,37,606,832,72.8,8190,1449,395,506,78.1,167,222,75.2,19,37,51.4,5,4.2,0.8,42,40,25,3,45
Caleb Watts,au AUS,MFFW,Southampton,18,2002,0.4,8,13,61.5,161,41,4,7,57.1,3,5,60,1,1,100,0,0,0,0,0,1,1,0
Adam Webster,eng ENG,DF,Brighton,25,1995,28.8,1484,1794,82.7,32506,11319,406,468,86.8,799,889,89.9,269,400,67.3,0,0.2,-0.2,6,132,7,1,110
Danny Welbeck,eng ENG,FW,Brighton,29,1990,17.2,219,268,81.7,2962,603,141,166,84.9,56,63,88.9,12,16,75,1,2.2,-1.2,22,13,6,1,21
Timo Werner,de GER,FW,Chelsea,24,1996,28.9,638,826,77.2,9609,1894,349,429,81.4,240,279,86,27,53,50.9,8,6.1,1.9,34,31,23,6,56
Ashley Westwood,eng ENG,MF,Burnley,30,1990,37.9,1567,2125,73.7,33232,10582,554,622,89.1,647,780,82.9,323,642,50.3,3,5,-2,49,181,73,12,202
Ben White,eng ENG,DFMF,Brighton,22,1997,35.5,1470,1766,83.2,30785,9425,487,540,90.2,729,816,89.3,241,375,64.3,0,0.7,-0.7,8,111,20,2,116
Georginio Wijnaldum,nl NED,MF,Liverpool,29,1990,32.7,1630,1747,93.3,28047,5426,780,824,94.7,663,699,94.8,153,171,89.5,0,1.7,-1.7,22,140,21,1,93
Brandon Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,120,140,85.7,2062,741,62,66,93.9,45,55,81.8,12,14,85.7,0,0,0,1,8,2,1,6
Neco Williams,wls WAL,DF,Liverpool,19,2001,2.8,156,213,73.2,2548,872,81,91,89,54,66,81.8,14,33,42.4,0,0.3,-0.3,3,10,1,1,17
Rhys Williams,eng ENG,DF,Liverpool,19,2001,7.3,415,451,92,9374,2316,91,100,91,228,239,95.4,93,107,86.9,0,0.4,-0.4,2,21,1,0,13
Willian,br BRA,FWMF,Arsenal,31,1988,15.6,624,787,79.3,11784,2300,279,316,88.3,255,303,84.2,85,151,56.3,5,2.5,2.5,29,34,30,10,49
Joe Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,180,234,76.9,2983,1140,89,102,87.3,63,82,76.8,18,33,54.5,0,0.7,-0.7,8,19,7,2,28
Joe Willock,eng ENG,MF,Arsenal,20,1999,2.6,69,91,75.8,1078,279,35,42,83.3,28,34,82.4,3,9,33.3,0,0,0,2,9,4,1,6
Callum Wilson,eng ENG,FW,Newcastle Utd,28,1992,23.2,255,366,69.7,3521,684,148,198,74.7,81,105,77.1,9,14,64.3,5,2.2,2.8,14,10,13,0,20
Harry Winks,eng ENG,MF,Tottenham,24,1996,9.6,554,658,84.2,10474,2951,230,252,91.3,243,270,90,72,110,65.5,0,0.3,-0.3,5,73,6,0,54
Chris Wood,nz NZL,FW,Burnley,28,1991,30.5,440,658,66.9,5847,916,273,381,71.7,127,187,67.9,13,23,56.5,3,2.2,0.8,23,24,5,0,34
Granit Xhaka,ch SUI,MFDF,Arsenal,27,1992,28,1945,2164,89.9,39353,10257,702,767,91.5,912,975,93.5,310,374,82.9,2,1.6,0.4,18,268,29,1,213
Andriy Yarmolenko,ua UKR,FWMF,West Ham,30,1989,4.2,124,157,79,2158,584,70,79,88.6,36,50,72,17,24,70.8,1,1,0,5,10,6,2,11
DeAndre Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,111,172,64.5,1760,809,61,76,80.3,36,55,65.5,11,31,35.5,0,0.1,-0.1,3,5,6,1,13
Okay Yokuşlu,tr TUR,MF,West Brom,26,1994,14.6,441,530,83.2,7663,2263,211,236,89.4,152,186,81.7,59,76,77.6,1,0.6,0.4,5,27,3,0,42
Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,29,590,778,75.8,8928,2221,347,426,81.5,178,218,81.7,42,69,60.9,2,3.3,-1.3,27,29,36,5,72
Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24,1995,28.7,1197,1410,84.9,20529,4894,552,631,87.5,530,589,90,90,132,68.2,3,2.2,0.8,27,134,23,5,114
Andi Zeqiri,ch SUI,FWDF,Brighton,21,1999,1.9,20,43,46.5,308,84,11,18,61.1,7,13,53.8,1,8,12.5,0,0.1,-0.1,1,2,1,1,4
Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,1331,1475,90.2,21806,6052,697,734,95,522,567,92.1,95,139,68.3,0,1.3,-1.3,13,108,14,0,93
Hakim Ziyech,ma MAR,FWMF,Chelsea,27,1993,13,548,734,74.7,9413,2551,272,316,86.1,198,237,83.5,63,141,44.7,3,3.7,-0.7,34,47,32,6,70
Kurt Zouma,fr FRA,DF,Chelsea,25,1994,22.5,1580,1720,91.9,34007,8862,436,457,95.4,880,925,95.1,254,319,79.6,0,0,0,2,96,3,0,66
