Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27,3,0,0,24,45,6,29,27,29,0,0,0,189,8,20,28.6
Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,14,13,2,13,11,8,0,0,0,86,27,19,58.7
Steven Alzate,co COL,MFDF,Brighton,21,1998,10,2,0,0,25,10,1,2,7,15,0,0,0,68,6,14,30
Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3
Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,41,27,1,11,39,36,0,1,1,220,66,30,68.8
Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,45,15,1,4,51,26,0,1,0,335,118,40,74.7
Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,3,0,0,34,48,16,30,9,8,1,0,0,81,63,116,35.2
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,2,0,0,0,6,0,0,0,1,0,0,0,150,0,0,
Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,3,0,0,37,39,4,26,31,41,0,0,0,270,8,23,25.8
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,2,0,0,21,19,18,47,6,5,0,0,1,84,31,64,32.6
Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,0,0,0,28,17,1,21,24,38,0,1,0,156,39,37,51.3
Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35
Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,4,0,0,53,73,5,18,29,33,0,0,0,132,31,110,22
Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,7,0,0,38,62,2,70,58,67,0,1,0,404,71,66,51.8
César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,5,1,0,33,16,5,29,37,31,0,0,0,243,58,48,54.7
Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0,0,12,5,0,0,22,6,0,0,0,98,27,17,61.4
Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,1,0,12,4,0,0,14,14,0,0,0,114,26,17,60.5
George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31,7,0,0,57,27,10,51,35,27,0,0,0,209,29,35,45.3
Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,1,0,0,11,10,5,29,9,9,0,0,0,70,22,11,66.7
Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,3,0,0,47,30,18,5,13,18,3,0,0,93,54,81,40
Phil Bardsley,sct SCO,DF,Burnley,35,1985,3,2,0,0,9,4,0,7,3,4,0,0,0,39,5,5,50
Ross Barkley,eng ENG,MF,Chelsea,26,1993,0.5,0,0,0,2,3,1,0,0,0,0,0,0,8,3,1,75
Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17,0,0,0,16,26,5,20,5,2,1,0,0,144,25,25,50
Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,4,0,0,53,56,17,6,5,6,1,0,0,75,55,98,35.9
Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,0,0,0,21,42,1,18,16,14,0,0,0,134,22,32,40.7
Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,4,0,0,35,9,5,4,31,18,0,1,0,260,111,55,66.9
Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,5,0,0,32,31,6,24,45,46,1,1,0,295,77,63,55
Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,0,0,0,13,6,11,7,2,3,1,0,0,34,11,23,32.4
Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,5,1,0,33,15,0,0,78,28,0,0,1,410,110,51,68.3
Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,1,0,0,7,7,0,4,7,9,1,0,0,44,3,4,42.9
Héctor Bellerín,es ESP,DF,Arsenal,25,1995,23.2,8,0,0,28,7,1,51,13,18,1,0,0,208,32,35,47.8
Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,0,0,0,15,21,2,39,13,21,0,1,0,124,3,15,16.7
Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,0,0,4,1,0,4,1,5,0,1,0,24,1,4,20
Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,3,1,1,38,26,15,6,5,9,0,0,0,79,212,150,58.6
Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,0,0,2,0,0,1,2,2,0,0,0,6,3,4,42.9
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,2,0,0,12,17,2,24,17,14,0,0,0,108,19,31,38
Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,4,0,0,20,6,2,18,3,16,0,0,0,101,16,15,51.6
Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,3,0,0,21,17,1,12,12,10,1,0,0,80,2,16,11.1
Bernard,br BRA,MFFW,Everton,27,1992,5.1,2,0,0,7,7,0,9,7,4,0,0,0,59,0,0,
Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,0,0,0,1,1,0,4,0,5,0,0,0,12,5,6,45.5
Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,5,0,0,31,38,3,57,31,43,0,1,0,210,34,54,38.6
Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,8,1,0,64,41,0,8,60,74,0,0,0,364,38,22,63.3
Jayden Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,2,0,0,16,11,1,12,20,16,0,0,0,84,16,28,36.4
Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,2,0,0,15,11,0,0,23,26,0,1,0,180,65,22,74.7
Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,0,0,0,18,67,14,52,22,14,0,0,0,175,20,60,25
Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,3,0,0,24,10,2,25,9,12,0,0,0,110,21,20,51.2
Rhian Brewster,eng ENG,FW,Sheffield Utd,20,2000,12.5,1,0,0,23,21,4,13,6,8,0,0,0,61,12,45,21.1
Nathan Broadhead,wls WAL,MF,Everton,22,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,2,0,0,48,39,2,17,53,28,0,0,0,398,71,43,62.3
Joe Bryan,eng ENG,DFFW,Fulham,26,1993,7.4,2,0,0,12,8,0,24,13,12,1,1,0,66,6,3,66.7
Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,0,0,16,3,0,15,28,15,0,0,1,92,31,19,62
Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,2,0,0,27,7,3,20,2,10,0,0,0,54,27,49,35.5
Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,5,0,0,43,7,4,32,37,22,0,1,1,195,99,41,70.7
Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
David Button,eng ENG,GK,West Brom,31,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20,3,0,0,15,3,3,0,19,7,0,0,0,147,80,39,67.2
Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,2,0,0,5,19,1,18,1,4,1,0,0,71,2,5,28.6
Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,3,0,0,38,44,19,15,5,12,2,0,0,115,143,147,49.3
João Cancelo,pt POR,DF,Manchester City,26,1994,25.5,5,1,0,40,23,2,69,53,44,0,0,0,259,35,30,53.8
Ian Carlo Poveda,eng ENG,MFDF,Leeds United,20,2000,3.9,0,0,0,5,7,2,9,2,7,0,0,0,26,0,4,0
Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,0,0,13,12,4,3,1,1,0,0,0,37,47,35,57.3
Scott Carson,eng ENG,GK,Manchester City,34,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,2.8,0,0,0,5,5,0,2,4,5,0,0,0,16,1,5,16.7
Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,8,1,1,43,24,2,62,49,44,0,2,0,228,40,42,48.8
Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,
Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,1,0,0,23,15,2,37,23,34,0,0,0,220,40,42,48.8
Jonny Castro,es ESP,DF,Wolves,26,1994,5.5,0,0,0,8,10,0,6,7,5,0,0,0,38,8,4,66.7
Ivan Cavaleiro,pt POR,FWMF,Fulham,26,1993,27.5,2,0,0,37,36,9,70,18,21,0,0,0,173,46,89,34.1
Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,4,0,0,21,15,6,5,10,11,0,0,0,73,9,19,32.1
Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,4,0,0,21,30,0,13,24,33,0,0,0,196,7,12,36.8
Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,0,0,9,2,0,27,14,3,0,0,0,94,23,17,57.5
Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,0,0,27,44,8,93,29,29,0,0,0,198,44,36,55
Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,1,0,0,8,3,0,0,5,7,0,0,0,54,2,3,40
Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,2,1,0,12,10,0,1,26,12,0,0,0,131,45,22,67.2
Carney Chukwuemeka,lk SRI,FWMF,Aston Villa,16,2003,0.2,0,0,0,2,0,0,0,0,2,0,0,0,0,1,4,20
Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21,3,0,0,17,15,1,0,26,14,0,1,1,168,79,35,69.3
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,2,0,0,3,1,0,13,13,9,0,0,0,99,7,15,31.8
Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,5,0,0,26,13,0,1,25,23,0,1,0,270,40,29,58
Séamus Coleman,ie IRL,DFMF,Everton,31,1988,17.9,0,0,0,17,19,0,32,20,26,0,0,0,155,13,13,50
Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,0,0,0,7,16,8,2,0,5,1,0,0,28,11,30,26.8
Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,4,1,0,26,28,1,0,53,47,0,0,0,305,103,53,66
Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
Jack Cork,eng ENG,MF,Burnley,31,1989,15,2,0,0,23,14,0,4,15,16,0,0,0,154,32,21,60.4
Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,0,0,0,24,19,3,16,6,15,0,0,1,68,4,25,13.8
Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,3,0,0,33,38,0,102,39,41,0,0,0,322,50,42,54.3
Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,3,0,0,15,18,0,91,36,13,0,0,0,307,38,30,55.9
Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
Stuart Dallas,nir NIR,DFMF,Leeds United,29,1991,37.9,7,0,0,45,59,0,56,59,52,0,0,0,367,41,37,52.6
Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,1,0,0,8,5,0,0,8,7,0,0,0,148,49,34,59
Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,3,0,0,0,4,0,0,1,0,0,0,0,103,0,0,
Ben Davies,wls WAL,DF,Tottenham,27,1993,15,1,0,0,25,12,1,24,13,13,1,0,0,101,34,20,63
Tom Davies,eng ENG,MF,Everton,22,1998,15.8,3,0,0,38,29,0,5,34,28,0,1,0,130,9,16,36
Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,0,0,0,4,9,0,6,0,3,0,0,0,12,17,17,50
Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0
Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,5,1,1,22,13,2,0,39,11,0,0,2,153,65,28,69.9
Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1,0,0,27,42,1,65,16,31,2,0,0,157,8,14,36.4
Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50
Fabian Delph,eng ENG,MFDF,Everton,30,1989,3,1,0,0,3,9,0,3,4,2,0,0,0,29,0,0,
Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,4,0,0,37,15,4,8,27,29,0,0,1,232,83,51,61.9
Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,2,0,0,18,26,17,5,2,4,0,0,0,48,48,100,32.4
Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,0,0,2,5,0,0,3,3,0,0,0,11,1,2,33.3
Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,3,0,0,31,18,0,7,16,25,0,1,0,126,8,19,29.6
Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,0,0,0,13,40,4,15,14,19,0,0,0,80,15,37,28.8
Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,4,0,0,26,23,1,2,22,21,0,2,1,272,60,28,68.2
Eric Dier,eng ENG,DF,Tottenham,26,1994,28,3,0,0,16,14,0,4,23,15,0,2,0,269,90,48,65.2
Lucas Digne,fr FRA,DF,Everton,27,1993,29.8,2,1,0,38,30,4,132,26,40,0,0,0,285,94,39,70.7
Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,3,0,0,9,7,1,1,14,19,0,0,1,111,30,20,60
Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,5,0,0,34,44,3,10,10,22,1,1,0,119,11,33,25
Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,4,1,1,22,12,0,24,18,8,0,1,0,114,54,23,70.1
Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,4,1,1,22,29,0,3,23,17,0,1,0,177,69,45,60.5
Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,6,0,0,34,16,0,10,35,42,0,0,0,304,37,26,58.7
Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,0,0,0,0,4,0,0,0,0,0,0,0,65,0,0,
Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,2,0,0,10,4,0,9,17,11,0,0,0,72,39,31,55.7
Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,2,0,20,21,2,1,29,19,0,0,1,408,69,40,63.3
Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,1,0,0,3,3,0,0,3,2,0,0,0,59,23,7,76.7
Ederson,br BRA,GK,Manchester City,26,1993,36,3,0,0,1,4,0,0,0,0,0,0,0,132,0,0,
Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,0,0,0,1,3,0,1,1,0,0,0,0,9,0,0,
John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,7,1,0,33,10,0,2,41,30,0,0,0,259,86,57,60.1
Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,0,0,0,2,4,1,1,1,1,0,0,0,7,2,4,33.3
Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,2,0,0,8,2,0,32,27,13,0,0,0,97,27,9,75
Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,3,0,0,18,16,0,3,20,11,0,0,0,144,8,19,29.6
Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,7,0,0,21,15,1,2,41,12,0,0,1,354,93,38,71
Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,3,0,0,21,83,1,26,29,22,0,0,0,203,12,32,27.3
Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,2,0,0,1,6,0,0,0,0,0,1,0,164,0,0,
Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,6,0,0,39,31,0,2,49,51,1,2,0,319,62,52,54.4
Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,6,0,0,50,68,3,91,22,39,0,1,0,239,13,43,23.2
Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,4,0,0,16,15,0,10,17,17,0,1,1,158,46,36,56.1
Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,6,0,0,31,10,0,6,26,22,0,0,0,132,29,18,61.7
Sam Field,eng ENG,MF,West Brom,22,1998,0.7,0,0,0,2,1,0,0,0,7,0,0,0,12,1,2,33.3
Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,2,0,0,23,31,4,32,10,22,0,0,0,204,25,87,22.3
John Fleck,sct SCO,MF,Sheffield Utd,28,1991,28.6,4,0,0,42,35,1,35,39,27,0,0,0,235,9,19,32.1
Phil Foden,eng ENG,FWMF,Manchester City,20,2000,18,0,0,0,17,39,3,36,12,16,0,0,0,93,14,30,31.8
Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,7,0,0,44,34,2,1,51,41,1,1,0,279,94,56,62.7
Pablo Fornals,es ESP,FWMF,West Ham,24,1996,28.6,3,0,0,34,28,7,33,33,29,0,0,0,216,25,37,40.3
Fraser Forster,eng ENG,GK,Southampton,32,1988,8,0,0,0,1,5,0,0,0,0,0,1,0,40,0,0,
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,1,0,0,1,0,1,5,1,1,0,0,0,11,1,0,100
Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,2,1,1,5,20,0,52,3,1,1,0,0,58,5,26,16.1
Fred,br BRA,MF,Manchester Utd,27,1993,26.6,5,0,0,67,41,1,7,47,55,0,0,0,311,10,14,41.7
Ryan Fredericks,eng ENG,DFFW,West Ham,27,1992,6.3,2,0,0,16,10,1,18,8,6,0,0,0,56,9,14,39.1
Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,4,0,0,16,6,0,8,12,9,0,1,0,80,24,14,63.2
Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,5,0,0,35,38,3,74,28,17,0,2,1,212,129,75,63.2
Conor Gallagher,eng ENG,MF,West Brom,20,2000,28.1,11,0,0,63,75,0,32,39,53,0,0,0,271,24,37,39.3
Eric García,es ESP,DF,Manchester City,19,2001,4.3,0,0,0,4,1,0,0,5,4,0,1,0,38,3,6,33.3
Dwight Gayle,eng ENG,FWMF,Newcastle Utd,29,1990,5.7,0,0,0,6,7,3,2,1,4,0,0,0,28,7,16,30.4
Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,0,0,0,0,3,0,0,0,0,0,0,0,83,0,0,
Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,17.9,2,0,0,23,32,5,61,10,10,0,0,0,81,30,50,37.5
Kieran Gibbs,eng ENG,DF,West Brom,30,1989,9,1,1,0,8,2,0,11,14,6,0,0,0,80,10,12,45.5
Morgan Gibbs-White,eng ENG,MFFW,Wolves,20,2000,4.6,1,0,0,5,11,1,8,4,6,0,0,0,38,2,7,22.2
Billy Gilmour,sct SCO,MF,Chelsea,19,2001,2.9,0,0,0,4,3,0,3,5,1,0,1,0,25,2,1,66.7
Olivier Giroud,fr FRA,FW,Chelsea,33,1986,8.3,1,0,0,17,8,6,3,4,4,0,0,0,38,20,33,37.7
Ben Godfrey,eng ENG,DF,Everton,22,1998,29.8,4,0,0,18,19,3,7,44,29,0,1,1,239,71,36,66.4
André Gomes,pt POR,MF,Everton,27,1993,17.4,3,0,0,50,22,2,17,15,34,0,1,0,175,19,17,52.8
Joe Gomez,eng ENG,DF,Liverpool,23,1997,6.6,0,0,0,9,6,0,0,5,2,0,1,0,107,26,23,53.1
Anthony Gordon,eng ENG,FWMF,Everton,19,2001,1,0,0,0,0,3,1,1,1,2,0,0,0,9,1,2,33.3
Karlan Grant,eng ENG,FWMF,West Brom,22,1997,12.5,1,0,0,11,17,7,9,11,3,0,0,0,53,13,63,17.1
Demarai Gray,eng ENG,FW,Leicester City,24,1996,0.2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,
Jack Grealish,eng ENG,FWMF,Aston Villa,24,1995,24.3,6,0,0,44,123,7,59,13,19,2,0,0,199,24,40,37.5
Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,20.2,2,0,0,22,26,4,30,9,12,0,0,0,93,7,17,29.2
Kamil Grosicki,pl POL,FWMF,West Brom,32,1988,1.6,0,0,0,1,0,0,3,0,0,0,0,0,14,0,1,0
Pascal Groß,de GER,MFDF,Brighton,29,1991,27.6,3,0,0,22,18,5,98,25,24,1,0,0,227,22,47,31.9
Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,2,0,0,0,8,0,0,0,0,0,0,0,168,0,1,0
İlkay Gündoğan,de GER,MF,Manchester City,29,1990,22.5,1,0,0,14,28,1,19,19,18,1,0,0,170,14,16,46.7
Antwoine Hackford,eng ENG,FWDF,Sheffield Utd,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Sébastien Haller,ci CIV,FW,West Ham,26,1994,10.4,0,0,0,31,21,11,4,5,4,0,0,0,36,61,78,43.9
Rekeem Harper,eng ENG,MF,West Brom,20,2000,0.4,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,
Jack Harrison,eng ENG,MF,Leeds United,23,1996,31.6,2,0,0,33,33,12,119,25,35,0,0,0,208,30,41,42.3
Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7,2,0,0,8,4,0,2,12,4,0,0,0,71,47,14,77
Kai Havertz,de GER,MFFW,Chelsea,21,1999,16.9,2,0,0,31,25,7,16,11,11,2,0,0,111,25,28,47.2
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,25,1995,21.6,8,0,0,46,20,1,12,46,34,0,0,0,217,55,37,59.8
Michael Hector,jm JAM,DF,Fulham,28,1992,2.9,2,0,0,7,3,0,0,0,5,0,0,0,25,5,3,62.5
Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,21,8,3,72.7
Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,
Jordan Henderson,eng ENG,MFDF,Liverpool,30,1990,18.9,0,0,0,12,15,0,14,30,9,0,0,0,240,14,6,70
Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,15.8,3,1,1,15,12,3,5,12,4,0,0,0,138,15,29,34.1
Pablo Hernández,es ESP,MFFW,Leeds United,35,1985,4.7,1,0,0,3,6,0,11,5,2,0,0,0,51,0,3,0
Son Heung-min,kr KOR,FW,Tottenham,28,1992,34.6,0,0,0,16,61,16,54,23,17,0,0,0,161,24,67,26.4
Ki-Jana Hoever,nl NED,DF,Wolves,18,2002,6.4,1,0,0,5,7,1,15,10,10,0,0,0,63,8,11,42.1
Pierre Højbjerg,dk DEN,MF,Tottenham,24,1995,38,9,0,0,80,67,0,11,49,82,0,1,0,429,52,40,56.5
Rob Holding,eng ENG,DF,Arsenal,24,1995,28.4,2,0,0,31,6,2,3,23,21,0,0,1,248,70,55,56
Mason Holgate,eng ENG,DF,Everton,23,1996,25.4,9,0,0,31,31,1,27,41,38,0,0,0,201,42,23,64.6
Conor Hourihane,ie IRL,MF,Aston Villa,29,1991,2.5,0,0,0,1,0,0,12,0,0,0,0,0,12,3,0,100
Callum Hudson-Odoi,eng ENG,FWDF,Chelsea,19,2000,11.8,0,0,0,12,8,5,46,10,12,0,0,0,73,5,11,31.3
Niall Huggins,wls WAL,DF,Leeds United,19,2000,0.4,0,0,0,1,1,0,1,0,0,0,0,0,7,0,0,
