Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8
Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,27.3,2,25,8,32,0.91,0.29,0.08,0.25,18.6,0,0,0,1.5,1.5,0.06,0.5,0.5
Alisson,br BRA,GK,Liverpool,27,1992,33,1,1,1,100,0.03,0.03,1,1,6,0,0,0,0.1,0.1,0.1,0.9,0.9
Allan,br BRA,MF,Everton,29,1991,22.8,0,7,2,28.6,0.31,0.09,0,0,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,12,4,33.3,1.74,0.58,0,0,14.2,0,0,0,1.3,1.3,0.11,-1.3,-1.3
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27,4,33,13,39.4,1.22,0.48,0.12,0.31,18.4,1,0,0,3.2,3.2,0.1,0.8,0.8
Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,0.3,0.3
Steven Alzate,co COL,MFDF,Brighton,21,1998,10,1,7,2,28.6,0.7,0.2,0.14,0.5,17.2,0,0,0,0.7,0.7,0.1,0.3,0.3
Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,1,3,1,33.3,0.37,0.12,0.33,1,10.8,0,0,0,0.4,0.4,0.13,0.6,0.6
Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,0,7,2,28.6,0.3,0.09,0,0,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1,13,3,23.1,0.43,0.1,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1
Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,4,54,12,22.2,1.76,0.39,0.07,0.33,20.8,0,0,0,3,3,0.05,1,1
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,10,56,19,33.9,2.16,0.73,0.14,0.42,13.5,0,2,2,10.6,9.1,0.16,-0.6,-1.1
Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6
Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,0,3,0,0,1.96,0,0,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,1,25,11,44,1.07,0.47,0.04,0.09,16.7,0,0,0,2.4,2.4,0.09,-1.4,-1.4
Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,0,25,6,24,0.66,0.16,0,0,18.6,0,0,0,1.4,1.4,0.06,-1.4,-1.4
César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,0.2,0.2
Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,0,2,0,0,0.2,0,0,,10,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,8,2,25,0.6,0.15,0.13,0.5,9.6,0,0,0,0.6,0.6,0.08,0.4,0.4
George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31,0,13,2,15.4,0.42,0.06,0,0,16.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1
Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,11,38,19,50,3.72,1.86,0.29,0.58,18.2,7,0,0,5.3,5.3,0.15,5.7,5.7
Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,17,105,45,42.9,3.1,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7
Phil Bardsley,sct SCO,DF,Burnley,35,1985,3,0,4,0,0,1.31,0,0,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ross Barkley,eng ENG,MF,Chelsea,26,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0
Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17,3,38,11,28.9,2.23,0.65,0.08,0.27,18.4,2,0,0,3.2,3.2,0.08,-0.2,-0.2
Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,3,39,12,30.8,2.64,0.81,0.05,0.17,15.7,0,1,1,5.1,4.4,0.11,-2.1,-2.4
Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,2.8,2.8
Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.6,8.2,0,0,0,2.1,2.1,0.15,0.9,0.9
Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,0,10,1,10,0.35,0.03,0,0,13.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,2,12,6,50,1.48,0.74,0.17,0.33,16.9,0,0,0,1.4,1.4,0.11,0.6,0.6
Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,1,10,5,50,0.29,0.15,0.1,0.2,8.9,0,0,0,1,1,0.1,0,0
Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,1,2,1,50,0.34,0.17,0.5,1,18.6,0,0,0,0.3,0.3,0.14,0.7,0.7
Héctor Bellerín,es ESP,DF,Arsenal,25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.2,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2
Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3
Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,2,0,0,0.68,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2
Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.3,11.5,0,0,0,8.1,8.1,0.11,1.9,1.9
Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,1,0,0,0.8,0,0,,9.4,0,0,0,0,0,0.03,0,0
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,19.9,1,0,0,1.7,1.7,0.09,0.3,0.3
Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,1,9,1,11.1,0.72,0.08,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5
Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,1,15,5,33.3,1.12,0.37,0.07,0.2,16.3,0,0,0,2.5,2.5,0.17,-1.5,-1.5
Bernard,br BRA,MFFW,Everton,27,1992,5.1,1,6,2,33.3,1.19,0.4,0.17,0.5,20.4,0,0,0,0.2,0.2,0.03,0.8,0.8
Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,0,4,0,0,1.75,0,0,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,0,8,3,37.5,0.28,0.1,0,0,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,25.3,2,0,0,1.2,1.2,0.03,-0.2,-0.2
Jayden Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,12.3,0,0,0,1.8,1.8,0.1,0.2,0.2
Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,12.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.5,16.2,0,0,0,6.3,6.3,0.11,1.7,1.7
Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.2,19.8,4,0,0,0.8,0.8,0.05,0.2,0.2
Rhian Brewster,eng ENG,FW,Sheffield Utd,20,2000,12.5,0,25,7,28,1.99,0.56,0,0,19.6,1,0,0,1.7,1.7,0.07,-1.7,-1.7
Nathan Broadhead,wls WAL,MF,Everton,22,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,0,36,8,22.2,1.15,0.26,0,0,20.4,8,0,0,1.9,1.9,0.05,-1.9,-1.9
Joe Bryan,eng ENG,DFFW,Fulham,26,1993,7.4,1,8,2,25,1.08,0.27,0.13,0.5,21.6,1,0,0,0.4,0.4,0.05,0.6,0.6
Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,2,1,50,0.18,0.09,0.5,1,4.8,0,0,0,0.4,0.4,0.2,0.6,0.6
Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,1,25,6,24,1.77,0.43,0.04,0.17,14.6,0,0,0,2.4,2.4,0.1,-1.4,-1.4
Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,1,16,6,37.5,0.7,0.26,0.06,0.17,14.2,0,0,0,1.5,1.5,0.1,-0.5,-0.5
Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
David Button,eng ENG,GK,West Brom,31,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20,1,11,3,27.3,0.55,0.15,0.09,0.33,11.4,0,0,0,0.7,0.7,0.06,0.3,0.3
Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20,0,0,0,0.7,0.7,0.06,0.3,0.3
Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,16,81,46,56.8,2.54,1.44,0.2,0.35,11.7,0,0,0,15.4,15.4,0.19,0.6,0.6
João Cancelo,pt POR,DF,Manchester City,26,1994,25.5,2,35,11,31.4,1.37,0.43,0.06,0.18,21.5,0,0,0,2,2,0.06,0,0
Ian Carlo Poveda,eng ENG,MFDF,Leeds United,20,2000,3.9,0,5,3,60,1.27,0.76,0,0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,14,2,14.3,3.21,0.46,0.07,0.5,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Scott Carson,eng ENG,GK,Manchester City,34,1985,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,2.8,1,9,4,44.4,3.18,1.41,0.11,0.25,14.8,0,0,0,1.1,1.1,0.13,-0.1,-0.1
Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,0,9,2,22.2,0.34,0.08,0,0,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.3,0,0,0,1.3,1.3,0.16,0.7,0.7
Jonny Castro,es ESP,DF,Wolves,26,1994,5.5,0,1,0,0,0.18,0,0,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ivan Cavaleiro,pt POR,FWMF,Fulham,26,1993,27.5,3,46,16,34.8,1.67,0.58,0.04,0.13,17.6,1,1,2,6.2,4.7,0.1,-3.2,-2.7
Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,10,35,15,42.9,2.29,0.98,0.29,0.67,11.1,0,0,0,7.4,7.4,0.21,2.6,2.6
Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,0,12,2,16.7,0.67,0.11,0,0,21.7,1,0,0,0.7,0.7,0.06,-0.7,-0.7
Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,8,0,0,0.96,0,0,,15.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,27,10,37,1.06,0.39,0.11,0.3,14,0,0,0,2.4,2.4,0.09,0.6,0.6
Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,0,4,1,25,1.14,0.28,0,0,19.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,0,3,0,0,0.2,0,0,,11.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Carney Chukwuemeka,lk SRI,FWMF,Aston Villa,16,2003,0.2,0,1,0,0,4.5,0,0,,22,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21,1,8,2,25,0.38,0.1,0.13,0.5,10.4,0,0,0,0.3,0.3,0.04,0.7,0.7
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,0,4,1,25,0.31,0.08,0,0,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,1,8,2,25,0.22,0.05,0.13,0.5,10.6,0,0,0,1.3,1.3,0.16,-0.3,-0.3
Séamus Coleman,ie IRL,DFMF,Everton,31,1988,17.9,0,12,4,33.3,0.67,0.22,0,0,19.1,0,0,0,1.2,1.2,0.1,-1.2,-1.2
Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,13.7,0,0,0,3.5,3.5,0.15,-1.5,-1.5
Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jack Cork,eng ENG,MF,Burnley,31,1989,15,0,5,0,0,0.33,0,0,,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.3,0,0,0,2,2,0.12,1,1
Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,0,15,5,33.3,0.44,0.15,0,0,16.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,0,19,4,21.1,0.54,0.11,0,0,24.6,11,0,0,0.9,0.9,0.05,-0.9,-0.9
Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,1,0,0,3.6,0,0,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Stuart Dallas,nir NIR,DFMF,Leeds United,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,19.7,0,0,0,4.6,4.6,0.1,3.4,3.4
Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,1,5,2,40,0.33,0.13,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7
Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ben Davies,wls WAL,DF,Tottenham,27,1993,15,0,3,0,0,0.2,0,0,,13,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Tom Davies,eng ENG,MF,Everton,22,1998,15.8,0,7,0,0,0.44,0,0,,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,9.6,0,0,0,1,1,0.12,0,0
Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.6,8.3,0,0,0,1.7,1.7,0.11,1.3,1.3
Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,6,79,25,31.6,3.56,1.13,0.05,0.16,20.2,10,2,3,9.7,7.4,0.09,-3.7,-3.4
Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,0,0,0.03,0,0
Fabian Delph,eng ENG,MFDF,Everton,30,1989,3,0,1,0,0,0.34,0,0,,30.4,0,0,0,0,0,0.03,0,0
Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,1,32,8,25,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.1,-2.3,-2.3
Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,3,25,9,36,1.89,0.68,0.12,0.33,10,0,0,0,5,5,0.2,-2,-2
Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,1,1,100,0.54,0.54,0,0,22.6,0,0,0,0,0,0.04,0,0
Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,0,8,2,25,0.71,0.18,0,0,20.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,1,14,5,35.7,1.02,0.36,0.07,0.2,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,1,14,7,50,0.44,0.22,0.07,0.14,7.5,0,0,0,2.4,2.4,0.17,-1.4,-1.4
Eric Dier,eng ENG,DF,Tottenham,26,1994,28,0,14,2,14.3,0.5,0.07,0,0,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9
Lucas Digne,fr FRA,DF,Everton,27,1993,29.8,0,13,0,0,0.44,0,0,,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6
Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,2,3,2,66.7,0.2,0.13,0.67,1,8.2,0,0,0,0.3,0.3,0.11,1.7,1.7
Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.5,19.1,0,0,0,0.9,0.9,0.06,0.1,0.1
Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,0,3,1,33.3,0.22,0.07,0,0,16,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,2,16,4,25,0.72,0.18,0.13,0.5,11.3,0,0,0,1,1,0.06,1,1
Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,16.8,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,1,3,1,33.3,0.22,0.07,0.33,1,6.9,0,0,0,0.3,0.3,0.1,0.7,0.7
Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,30,13,43.3,0.92,0.4,0.17,0.38,12.3,2,0,0,2.5,2.5,0.08,2.5,2.5
Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,1,7,1,14.3,2.33,0.33,0.14,1,10.8,0,0,0,0.4,0.4,0.06,0.6,0.6
Ederson,br BRA,GK,Manchester City,26,1993,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,0,14,3,21.4,0.48,0.1,0,0,9.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,1,3,1,33.3,1.74,0.58,0.33,1,16.4,0,0,0,0.3,0.3,0.09,0.7,0.7
Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,0,9,1,11.1,0.97,0.11,0,0,11.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,1,9,2,22.2,0.52,0.12,0.11,0.5,19.3,0,0,0,0.5,0.5,0.06,0.5,0.5
Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,2,8,3,37.5,0.29,0.11,0.25,0.67,7.6,0,0,0,1.7,1.7,0.21,0.3,0.3
Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,4,37,13,35.1,1.3,0.46,0.11,0.31,21.1,4,0,0,2.2,2.2,0.06,1.8,1.8
Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,0,10,1,10,0.35,0.04,0,0,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,18,110,40,36.4,3.19,1.16,0.08,0.23,22,16,9,10,15.4,7.8,0.07,2.6,1.2
Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,0,5,3,60,0.22,0.13,0,0,10.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,0,15,3,20,1.14,0.23,0,0,21.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Sam Field,eng ENG,MF,West Brom,22,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,9,83,32,38.6,2.63,1.01,0.11,0.28,13.8,0,0,0,12.6,12.6,0.16,-3.6,-3.6
John Fleck,sct SCO,MF,Sheffield Utd,28,1991,28.6,0,17,5,29.4,0.59,0.17,0,0,23,0,0,0,0.9,0.9,0.05,-0.9,-0.9
Phil Foden,eng ENG,FWMF,Manchester City,20,2000,18,9,45,20,44.4,2.51,1.11,0.2,0.45,14.7,0,0,0,5.5,5.5,0.12,3.5,3.5
Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,0,11,2,18.2,0.44,0.08,0,0,8.8,0,0,0,1,1,0.09,-1,-1
Pablo Fornals,es ESP,FWMF,West Ham,24,1996,28.6,5,50,15,30,1.75,0.52,0.1,0.33,15.6,0,0,0,6.5,6.5,0.13,-1.5,-1.5
Fraser Forster,eng ENG,GK,Southampton,32,1988,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,0,1,0,0,1.13,0,0,,28.4,0,0,0,0,0,0.03,0,0
Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,0,13,6,46.2,1.26,0.58,0,0,21.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Fred,br BRA,MF,Manchester Utd,27,1993,26.6,1,25,7,28,0.94,0.26,0.04,0.14,22.1,0,0,0,1.9,1.9,0.08,-0.9,-0.9
Ryan Fredericks,eng ENG,DFFW,West Ham,27,1992,6.3,1,3,2,66.7,0.47,0.32,0.33,0.5,14.1,0,0,0,0.3,0.3,0.1,0.7,0.7
Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,0,4,0,0,0.51,0,0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,1,26,5,19.2,0.8,0.15,0.04,0.2,13,0,0,0,2,2,0.08,-1,-1
